Texas COVID-19 Vaccine Allocation - Week of Feb. 22 (Week 11),,,,,,
"This list includes only first doses of vaccine. Per a recent label change, each vial of Pfizer vaccine contains six doses for a minimum order of 1,170 doses.",,,,,,
"Addresses are shipping addresses, not necessarily where vaccination is occurring.",,,,,,
FEMA SITES,,,,,,
,,,,Moderna,Pfizer,Total
Houston Physicians Hospital,333 N. Texas Ave,Webster,HARRIS,200,-,200
Pam Rehabilitation Hospital Clear Lake North,655 E Medical Center Blvd,Webster,HARRIS,200,-,200
Pam Rehabilitation Hospital Of Clear Lake Main,110 East Medical Center Boulevard,Webster,HARRIS,200,-,200
Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON,100,-,100
East Texas Border Health Clinic dbs Genesis PrimeCare - Mars805 Lindsey Drive,,Marshall,HARRISON,100,-,100
Marshall-Harrison County Health District (Re),805 Lindsey Dr,Marshall,HARRISON,400,-,400
Haskell Memorial Hospital Clinic,1400 S 1st St,Haskell,HASKELL,100,-,100
The Drug Store,100 S Avenue E,Haskell,HASKELL,100,-,100
HEB Pharmacy 477,15300 Ih 35 S,Buda,HAYS,200,-,200
Walgreens Pharmacy 10841,1660 Main St,Buda,HAYS,200,-,200
Walmart Pharmacy 4219,690 Old San Antonio Rd,Buda,HAYS,200,-,200
HEB Pharmacy 611,598 E Hwy Us 290,Dripping Springs,HAYS,200,-,200
Walgreens Pharmacy 12029,27495 Rr 12,Dripping Springs,HAYS,200,-,200
HEB Pharmacy 14,5401 South Fm 1626,Kyle,HAYS,200,-,200
Heb Pharmacy 243,641 E Hopkins St,San Marcos,HAYS,200,-,200
Walgreens Pharmacy 04550,639 E Hopkins St,San Marcos,HAYS,200,-,200
Walgreens Pharmacy 12521,1700 Rr 12,San Marcos,HAYS,200,-,200
Live Oak Health Partners Comm Cl,401 Broadway St Ste A,San Marcos,HAYS,200,-,200
HEB Pharmacy 708,14501 Ranch Road 12,Wimberley,HAYS,200,-,200
Hemphill County Hospital,1020 S.4th,Canadian,HEMPHILL,100,-,100
"Renal Care Group Texas, Inc",1220 S Palestine,Athens,HENDERSON,100,-,100
Family Circle Of Care Athens,1001 N Palestine St,Athens,HENDERSON,200,-,200
Ut Health East Texas Athens,2000 S Palestine St # 40024,Athens,HENDERSON,200,-,200
Brookshire's Pharmacy 011,807 E Tyler St,Athens,HENDERSON,100,-,100
Christus Trinity Mother Frances,1505 Hwy 19 S,Athens,HENDERSON,200,-,200
Lakeland,117 Medical Circle,Athens,HENDERSON,200,-,200
Brookshires Pharmacy 84,703 HWY 31 E,Chandler,HENDERSON,100,-,100
Brookshires Pharmacy 68,210 S Seven Points Dr,Kemp,HENDERSON,100,-,100
Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON,100,-,100
Lakeland Medical Associates - Tvfc 040207,170 Municipal Dr,Mabank,HENDERSON,200,-,200

Wellmed Crossroads,1301 E Fern,McAllen,HIDALGO,400,-,400
Nuestra Clinica Del Valle - Mission,611 N Bryan Rd,Mission,HIDALGO,100,-,100
Hill Regional Hospital,101 Circle Dr,Hillsboro,HILL,400,-,400
Dshs Hillsboro,605 S Ivy St Ste 200,Hillsboro,HILL,200,-,200
COVENANT HOSPITAL LEVELLAND,1900 College Avenue,Levelland,HOCKLEY,200,-,200
Levelland Clinic North,103 John Dupree Dr,Levelland,HOCKLEY,200,-,200
Granbury Hood County EMS Inc,2200 Commercial Ln,Granbury,HOOD,"1,500",-,"1,500"
DSHS Granbury,214 N Travis St,Granbury,HOOD,100,-,100
Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS,100,-,100
Christus Trinity Clinic - Sulphur Springs,"105 Medical Plaza, Building 1",Sulphur Springs,HOPKINS,200,-,200
Brookshires Pharmacy 85,401 N 4th St,Crockett,HOUSTON,100,-,100
Davy Crockett Drug Inc,107 S 4th St,Crockett,HOUSTON,100,-,100
Brookshires Pharmacy 112,1111 N Hwy 287,Grapeland,HOUSTON,100,-,100
Scenic Mountain Medical Ctr,1601 W 11th Pl,Big Spring,HOWARD,400,-,400
Project Vida Health Center,561 S. Knox,Fort Hancock,HUDSPETH,100,-,100
Hunt Regional Medical Center,4215 Joe Ramsey Blvd E,Greenville,HUNT,"1,000",-,"1,000"
High Plains Family Medicine,104 N Bryan St,Borger,HUTCHINSON,200,-,200
Jack County Medical Clinic,215 Chisholm Trail,Jacksboro,JACK,300,-,300
Jackson County Hospital District,1013 S Wells,Edna,JACKSON,100,-,100
Rogers Pharmacy #6,"1013 S Wells St,",Edna,JACKSON,100,-,100
Jeff Davis County Ambulance,200 Court Ave,Fort Davis,JEFF DAVIS,100,-,100
Beaumont Kidney Center,1085 S 23rd St,Beaumont,JEFFERSON,100,-,100
PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 Plaza 10 Blvd,Beaumont,JEFFERSON,200,-,200
Gateway Community Health Center Inc. - Hebbronville,473 State Highway 285,Hebbronville,JIM HOGG,100,-,100
Burleson Public Health Authority,828 sw alsbury,Burleson,JOHNSON,"3,000",-,"3,000"
Anson General Hospital,101 Avenue J,Anson,JONES,100,-,100
DSHS Anson,2062 Us Hwy 277 North,Anson,JONES,100,-,100
Texas Department of Criminal Justice CONNALLY,899 FM 632,Kenedy,KARNES,100,-,100
Otto Kaiser Memorial Hopsital,3349 South Highway 181,Kenedy,KARNES,300,-,300
Brookshires Pharmacy 89,427 PINSON ROAD,Forney,KAUFMAN,200,-,200
Kroger Pharmacy 579,500 Marketplace Blvd,Forney,KAUFMAN,200,-,200
Brookshires Pharmacy 035,2235 S Washington St,Kaufman,KAUFMAN,200,-,200
DSHS Kaufman,2525 E. Hwy 175,Kaufman,KAUFMAN,200,-,200
Terrell Fire Department,201 East Nash Street,Terrell,KAUFMAN,"3,000",-,"3,000"
Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,Kaufman,300,-,300
Kendall County EMS,1175 N MAIN,Boerne,KENDALL,500,-,500
HEB Pharmacy 621,420 W Bandera,Boerne,KENDALL,100,-,100
Peterson Regional Medical Center - Kerrville,551 Hill Country Dr,Kerrville,KERR,500,-,500
Kimble Hospital,349 Reid Rd,Junction,KIMBLE,200,-,200
United Medical Centers #2,202 James Street,Brackettville,KINNEY,100,-,100
Knox County Hospital,701 Se 5th St,Knox City,KNOX,100,-,100
Lamb Healthcare Center,1500 S Sunset Ave,Littlefield,LAMB,200,-,200
Lhc Family Medicine - Dr Cindy George,1600 S Sunset Ave. A,Littlefield,LAMB,100,-,100
Advent Health Rollins Brook Hospital,608 North Key Avenue,Lampasas,LAMPASAS,200,-,200
AdventHelath Family Medicine Rural Health Clinics,187 PR 4060,Lampasas,LAMPASAS,200,-,200
Lavaca Medical Center,1400 N Texana St,Hallettsville,LAVACA,200,-,200
Brookshires Pharmacy 74 - Hallettsville,1514 N Texana St,Hallettsville,LAVACA,100,-,100
Lavaca Family Health Clinic,1406 North Texana,Hallettsville,LAVACA,300,-,300
Brookshires Pharmacy 37,513 E Austin St,Giddings,LEE,100,-,100

Pieratt's Pharmacy,233 S. Manse,Giddings,LEE,200,-,200
Brookshires Pharmacy 54 - Buffalo,1220 W Commerce,Buffalo,LEON,100,-,100
Brookshires Pharmacy 26,1117 N Main St,Jewett,LEON,100,-,100
Dshs Cleveland Clinic,300 Campbell St,Cleveland,LIBERTY,100,-,100
Limestone Medical Center,701 Mcclintic Dr,Groesbeck,LIMESTONE,100,-,100
Family Medicine Center - Groesbeck,701 Mcclintic Dr,Groesbeck,LIMESTONE,100,-,100
Parkview Regional Hospital,600 S Bonham St,Mexia,LIMESTONE,200,-,200
Teare Memorial Clinic,146 Pioneer Dr,Booker,LIPSCOMB,100,-,100
Live Oak County Health Department,301 Houston St Annex Bldg Rm 10,George West,LIVE OAK,200,-,200
Corner Drug,600 Bessemer Ave,Llano,LLANO,100,-,100
Hill Country Direct Care,904 Ford St,Llano,LLANO,300,-,300
Joe Arrington Cancer Center,4101 22nd Place,Lubbock,LUBBOCK,200,-,200
Lubbock Vascular Access Center,1126 Slide Rd,Lubbock,LUBBOCK,100,-,100
Dshs Phr 1 Hq - Lubbock (Re),6302 Iola Ave,Lubbock,LUBBOCK,300,-,300
Family Wellness Clinic,1809 Lockwood Ave,Tahoka,LYNN,100,-,100
Chi St. Joseph Madison Hospital,100 W Cross St,Madisonville,MADISON,100,-,100
Texas Department of Criminal Justice FERGUSON,12120 Savage Dr,Midway,MADISON,100,-,100
"HEALTHIER WAY FAMILY CARE, PLLC",110 N WALNUT ST,Jefferson,MARION,100,-,100
Martin County Hospital District,600 Interstate 20 East,Stanton,MARTIN,100,-,100
Frontera Healthcare Network Mason Clinic,216 E College,Mason,MASON,100,-,100
Matagorda Regional Medical Center,104 7th Street,Bay City,MATAGORDA,300,-,300
Dshs Hsr 6/5s-Bay City,1700 Merlin St,Bay City,MATAGORDA,100,-,100
Palacios Medical Clinic,307 Green Ave.,Palacios,MATAGORDA,300,-,300
Frontera Healthcare-Brady,2205 S Bridge St Ste 300,Brady,MCCULLOCH,200,-,200
Mcmullen Community Health Center,203 Hackberry St,Tilden,MCMULLEN,100,-,100
Medina Regional Hospital,3100 Avenue E,Hondo,MEDINA,300,-,300
LHD Medina CO Health Dept (RE),1206 15th St,Hondo,MEDINA,300,-,300
Frontera Clinic-Menard,119 S. Ellis,Menard,MENARD,100,-,100
DSHS Midland,1101 N. Midland Dr.,Midland,MIDLAND,300,-,300
LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,Cameron,MILAM,300,-,300
Mills County Medical Clinic - Mills county,1510 Hanna Valley Rd,Goldthwaite,MILLS,200,-,200
Mitchell County Hospital,997 W I20,Colorado City,MITCHELL,300,-,300
Nocona General Hospital,100 Park Rd,Nocona,MONTAGUE,100,-,100
Sam Houston State University Dba Shsu Physicians,690 S Loop 336 W Ste 200,Conroe,MONTGOMERY,100,-,100
Encompass Health Rehabilitation Hospital of The Wo,18550 IH 45 South,Conroe,MONTGOMERY,200,-,200
Encompass Health Rehabilitation Hospital Vision Pa,117 Vision Park,Conroe,MONTGOMERY,300,-,300
Solara Hospital Conroe,1500 Grand Lake Dr,Conroe,MONTGOMERY,100,-,100
Montgomery County Phd,1300 S Loop 336 W,Conroe,MONTGOMERY,"2,500",-,"2,500"
Kroger Pharmacy 136,341 S Loop 336 W,Conroe,MONTGOMERY,200,-,200
Magnolia Pharmacy,18230 Fm 1488 Rd Ste 100,Magnolia,MONTGOMERY,500,-,500
Kroger Pharmacy 142,20168 Eva St,Montgomery,MONTGOMERY,200,-,200
Kroger Pharmacy 138,22030 Market Place Dr,New Caney,MONTGOMERY,200,-,200
Fresenius Kidney Care Cypress Creek,9449 Grogans Mill Rd,Spring,MONTGOMERY,100,-,100
Kroger Pharmacy 137,3731 Riley Fuzzel Rd,Spring,MONTGOMERY,200,-,200
Moore County Hospital District,224 E 2nd St,Dumas,MOORE,200,-,200
Dshs Dumas,501 Success Blvd,Dumas,MOORE,100,-,100
Brookshires Pharmacy 109,609 Linda Dr,Daingerfield,MORRIS,100,-,100
Nacogdoches Memorial Hosp Care 1st,1106 South St,Nacogdoches,NACOGDOCHES,300,-,300
East Texas Community Health Services,1309 S. University Dr.,Nacogdoches,NACOGDOCHES,200,-,200

Nacogdoches Memorial Hospital,1204 N Mound St,Nacogdoches,NACOGDOCHES,500,-,500
Fresenius Medical Care Corsicana,1321 w 2nd ave,Corsicana,NAVARRO,100,-,100
Jasper-Newton County Phd (Newton),210 High St,Newton,NEWTON,300,-,300
Rolling Plains Memorial Hospital Employee And Patients,200 E Arizona,Sweetwater,NOLAN,100,-,100
Lhd Sweetwater-Nolan Co Health Dept (Re),301 E 12th St,Sweetwater,NOLAN,200,-,200
Christus Spohn Health System Shoreline,600 Elizabeth St,Corpus Christi,NUECES,500,-,500
Wellmed Morgan,2922 Morgan Avenue,Corpus Christi,NUECES,400,-,400
Dewitt Family Practice,3020 Garrett Dr,Perryton,OCHILTREE,100,-,100
Perryton Health Center,3101 Garrett Dr,Perryton,OCHILTREE,100,-,100
Family Care Clinic Of Boys Ranch,74 Patterson Circle,Boys Ranch,OLDHAM,200,-,200
Best Value Waddy Pharmacy,106 Sw 6th Ave,Mineral Wells,PALO PINTO,100,-,100
DSHS Mineral Wells,4113 Highway 180 E,Mineral Wells,PALO PINTO,100,-,100
Hope Community Medicine-Carthage,820 West Panola St.,Carthage,PANOLA,100,-,100
Brookshires Pharmacy 8 - Carthage,412 W Panola St,Carthage,PANOLA,100,-,100
Friona Rural Health Clinic,1307 Cleveland Ave Ste B,Friona,PARMER,200,-,200
PECOS COUNTY MEMORIAL HOSPITAL DBA FAMILY CARE CEN387 W IH 10,,Fort Stockton,PECOS,300,-,300
Iraan Rural Health Clinic,600 Hwy 349 North,Iraan,PECOS,300,-,300
Texas Department of Criminal Justice Polunsky,3872 FM 350 South,Livingston,POLK,100,-,100
Fresenius Kidney Care,5920 Amarillo Blvd W,Amarillo,POTTER,100,-,100
Dshs Marfa,205 E El Paso St,Marfa,PRESIDIO,500,-,500
Brookshires Pharmacy 4,959 East Us Hwy 69,Emory,RAINS,200,-,200
DSHS Amarillo,3407 Pony Express Way,Amarillo,RANDALL,400,-,400
"BSA Hospital, LLC EMS",615 West US Hwy 60,Canyon,RANDALL,200,-,200
United Pharmacy 532,201 N 23rd St,Canyon,RANDALL,100,-,100
Reagan Memorial Hospital,1300 N. Main Street,Big Lake,REAGAN,100,-,100
Canyon Health Center,700 Frio St.,Camp Wood,REAL,100,-,100
Rolling Hills Health,121 Oak Hill Dr,Leakey,REAL,100,-,100
"Prmc Healthcare Group, Inc - Clarksville",201 S Walnut St,Clarksville,RED RIVER,100,-,100
Refugio County Memorial Hospital District,107 Swift St,Refugio,REFUGIO,200,-,200
Wilson Drug,118 W 4th St,Hearne,ROBERTSON,100,-,100
Rockwall Fire Department,305 E. Boydstun Ave.,Rockwall,ROCKWALL,"1,000",-,"1,000"
Rockwall County Health Authority,1010 W Ralph Hall Pkwy,Rockwall,ROCKWALL,"1,000",-,"1,000"
The Health Center Of Helping Hands,401 W Rusk St Ste 100,Rockwall,ROCKWALL,"1,000",-,"1,000"
DSHS Ballinger,2017 Hutchins Avenue,Ballinger,RUNNELS,100,-,100
North Runnels Hospital District,7821 Hwy 153,Winters,RUNNELS,200,-,200
Texas Department of Criminal Justice EAST TX ISF,900 Industrial Drive,Henderson,RUSK,100,-,100
Kroger Pharmacy 490,2415 Us Highway 79 S,Henderson,RUSK,100,-,100
Sabine County Hospital,2301 Worth St,Hemphill,SABINE,200,-,200
Hope Community Medicine-San Augustine,109 E Main St,San Augustine,SAN AUGUSTINE,200,-,200
Brookshires Pharmacy 72 - Coldspring,14761 Hwy 150 West,Coldspring,SAN JACINTO,100,-,100
Bay Area Dialysis Aransas Pass,709 S. Commercial St.,Aransas Pass,SAN PATRICIO,100,-,100
Lhd San Patricio Co Dept Of Health (Re),313 N. Rachal,Sinton,SAN PATRICIO,700,-,700
Baylor Scott and White Healthcare,2005 W. Wallace,San Saba,SAN SABA,100,-,100
Schleicher County Family Clinic,100 N Us Highway 277,Eldorado,SCHLEICHER,200,-,200
Scurry County Health Unit,911 26th St,Snyder,SCURRY,100,-,100
Cogdell Family Clinic,1700 Cogdell Blvd,Snyder,SCURRY,100,-,100
Resource Care Albany Hq,725 Pate St Ste 100,Albany,SHACKELFORD,100,-,100
Hope Community Medicine-Center,620 Tenaha St,Center,SHELBY,100,-,100
Hope Community Medicine-Tenaha,157 Wall St,Tenaha,SHELBY,100,-,100

Stratford Family Medical Clinic,Po Box 1189,Stratford,SHERMAN,100,-,100
Watson Wise Dialysis,815 East First Street,Tyler,SMITH,100,-,100
UTHealth Tyler Hospital,1000 South Beckham Avenue,Tyler,SMITH,200,-,200
DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,Tyler,SMITH,"1,000",-,"1,000"
Glen Rose Medical Center,1021 Holden St,Glen Rose,SOMERVELL,300,-,300
Starr County,100 N FM 3167,Rio Grande City,STARR,"1,000",-,"1,000"
Family Health Center Llp,2768 Pharmacy Rd,Rio Grande City,STARR,"1,000",-,"1,000"
Breckenridge Medical Center,101 S. Hartford,Breckenridge,STEPHENS,200,-,200
Stonewall Memorial Hospital,821 N Broadway St,Aspermont,STONEWALL,100,-,100
Lillian M Hudspeth Memorial Hospital,308 Hudspeth St,Sonora,SUTTON,100,-,100
Swisher Memorial Healthcare System,539 Se 2nd St,Tulia,SWISHER,100,-,100
Encompass Health Rehabilitation Hospital Of Arlington,3200 Matlock Rd,Arlington,TARRANT,100,-,100
Oak Street Health,4801 S Cooper St #401,Arlington,TARRANT,100,-,100
Dshs Hsr 2/3 Hq - Arlington (Re),1301 S Bowen Rd,Arlington,TARRANT,500,-,500
Encompass Health Rehab Hospital of the Mid-Cities,2304 State Highway 121,Bedford,TARRANT,200,-,200
Metropolitan Area EMS Authority,2900 Alta Mere Drive,Fort Worth,TARRANT,500,-,500
Encompass Health Rehabilitation Hospital City View,6701 Oakmont Blvd,Fort Worth,TARRANT,100,-,100
Jps Hospital,1500 South Main St,Fort Worth,TARRANT,-,"3,510","3,510"
Lifecare Hospital Fort Worth - Fort Worth,6201 Overton Ridge Blvd,Fort Worth,TARRANT,100,-,100
Texas Department of Criminal Justice MIDDLETON,13055 FM 3522,Abilene,TAYLOR,100,-,100
"Bio- Medical Applications of Texas, Inc",1802 Pine Street,Abilene,TAYLOR,100,-,100
South Plains Public Health District - Brownfield,919 E Main St.,Brownfield,TERRY,200,-,200
Throckmorton Rural Health Clinic,802 N Minter Ave Ste B,Throckmorton,THROCKMORTON,100,-,100
Renal Care Group Texas Inc DBA Mt. Pleasant Dialysis,628 S. Jefferson Ave,Mount Pleasant,TITUS,100,-,100
Titus Regional Medical Center,2001 North Jefferson,Mount Pleasant,TITUS,400,-,400
San Angelo Health Department,2030 Pulliam St Ste 8,San Angelo,TOM GREEN,200,-,200
Communitycare Arch,500 E 7th St,Austin,TRAVIS,200,-,200
CommUnityCare Sandra Joy Anderson,1705 E 11th St,Austin,TRAVIS,200,-,200
Communitycare William Cannon,6801 S IH 35 Frontage Rd,Austin,TRAVIS,200,-,200
Fresenius Medical Care,12221 Renfert Way,Austin,TRAVIS,100,-,100
Carousel Pediatrics Wm Cannon,6425 S Interstate 35 Ste 100,Austin,TRAVIS,100,-,100
Communitycare Hornsby Bend Health Center,14312 Hunters Bend Rd,Austin,TRAVIS,200,-,200
Communitycare North Central,1210 W Braker Ln,Austin,TRAVIS,200,-,200
Communitycare Rundberg,825 E Rundberg Ln Ste B1,Austin,TRAVIS,300,-,300
Communitycare- South Austin,2529 S 1st St,Austin,TRAVIS,200,-,200
Lone Star Circle Of Care At Collinfield,8913 Collinfield Dr Unit 1,Austin,TRAVIS,100,-,100
Lone Star Circle Of Care At El Buen Samaritano,7000 Woodhue Dr,Austin,TRAVIS,200,-,200
Lone Star Circle Of Care Ben White,1221 W Ben White Blvd # B100,Austin,TRAVIS,100,-,100
Lscc Fam Care Ctr Nw Fp,11111 Research Blvd Ste 320,Austin,TRAVIS,100,-,100
People's Community Clinic - Austin 2,1101 Camino La Costa Ste 100,Austin,TRAVIS,100,-,100
BSWIR JV,2000 Medical Drive,Austin,TRAVIS,200,-,200
Encompass Health Of Austin,330 West Ben White Blvd,Austin,Travis,100,-,100
Seton Medical Center Austin,1201 W 38th St,Austin,TRAVIS,"3,000",-,"3,000"
Refugee Services - Austin 1,1000 Toyath St,Austin,TRAVIS,200,-,200
Communitycare South East Health And Wellness Clinic,2901 Montopolis Dr,Austin,TRAVIS,200,-,200
AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,Austin,TRAVIS,500,-,500
Toth Enterprises Ii Victory Medical And Family Care,4303 Victory Dr,Austin,TRAVIS,100,-,100
Wellmed Ben White,706 W. Ben White Bldg. A,Austin,TRAVIS,400,-,400
Communitycare - Del Valle,3518 Fm 973 Ste A,Del Valle,TRAVIS,200,-,200

Manor Pharmacy,14008 Shadowglen Blvd,Manor,TRAVIS,100,-,100
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,Austin,TRAVIS_DSHS,"6,100",-,"6,100"
Healthpoint Trinity,315 Prospect Dr,Trinity,TRINITY,200,-,200
Tyler County Hospital Family Medical Clinic,104 N Beech St,Woodville,TYLER,500,-,500
The Med-Shop Pharmacy,825 US HWY 271 N.,Gilmer,UPSHUR,100,-,100
Rankin County Hospital District,1611 Spur 576,Rankin,UPTON,100,-,100
Emergency Operations Center,1051 West 10th,Del Rio,VAL VERDE,500,-,500
Christus Trinity Clinic Of Canton,18780 I20 Service Road,Canton,VAN ZANDT,300,-,300
Brookshires Pharmacy 033,205 W Frank St,Grand Saline,VAN ZANDT,100,-,100
Sam Houston State University - Student Health Center,1608 Avenue J,Huntsville,WALKER,100,-,100
Texas Department of Criminal Justice ELLIS,1697 FM 980,Huntsville,WALKER,100,-,100
Texas Department of Criminal Justice ESTELLE,264 FM 3478,Huntsville,WALKER,100,-,100
Texas Department of Criminal Justice Huntsville,815 12th Street,Huntsville,WALKER,100,-,100
Brookshires Pharmacy 33 - Huntsville,2601 11th St,Huntsville,WALKER,100,-,100
Kroger Pharmacy 145,223 Interstate 45 S,Huntsville,WALKER,200,-,200
Huntsville Family Medicine - Huntsville 2,123 Medical Park Ln Ste A,Huntsville,WALKER,300,-,300
Ft Bend Family Hlth Ctr Accesshealth - Brookshire,533 Fm 359 S,Brookshire,WALLER,200,-,200
Ward Memorial Hospital,406 S Gary Ave,Monahans,WARD,200,-,200
HEB Pharmacy 584,306 N Mechanic St,El Campo,WHARTON,200,-,200
Midcoast Medical Clinic,305 Sandy Corner Rd Ste 120,El Campo,Wharton,200,-,200
Shamrock General Hospital,1000 S Main St,Shamrock,WHEELER,100,-,100
Hyland's Pharmacy,1814 Bill Mack Rd,Shamrock,WHEELER,100,-,100
Texas Department of Criminal Justice Allred,2101 FM 369 N,Iowa Park,WICHITA,100,-,100
Fresenius Medical Care,1600 9th Street,Wichita Falls,WICHITA,100,-,100
LHD Wichita Falls-Wichita CO PH Dist (RE),1700 3rd Street,Wichita Falls,WICHITA,700,-,700
Wilbarger General Hospital,920 Hillcrest Dr,Vernon,WILBARGER,200,-,200
Su Clinica - Raymondville,131 Fm 3168,Raymondville,WILLACY,100,-,100
Lone Star Circle Of Care At Cedar Park,1401 Medical Pkwy Ste 311 Bldg B,Cedar Park,WILLIAMSON,200,-,200
Family Health And Wellness At Lake Aire,2423 Williams Dr,Georgetown,WILLIAMSON,100,-,100
Lake Aire Med Ctr Sr Health Wellnes,2423 Williams Dr Ste 113,Georgetown,WILLIAMSON,100,-,100
Lscc Tamu Hlth Science Ctr Family Hlth,3950 N A W Grimes Blvd # 301,Round Rock,WILLIAMSON,100,-,100
Seton Circle Of Care Senior Health,3950 N A W Grimes Blvd # 104,Round Rock,WILLIAMSON,100,-,100
Encompass Health of Round Rock,1400 Hesters Crossing Rd,Round Rock,WILLIAMSON,200,-,200
Pam Rehabilitation Hospital Of Round Rock,351 Seton Parkway,Round Rock,WILLIAMSON,200,-,200
Wcchd Round Rock,355 Texas Ave.,Round Rock,WILLIAMSON,"1,600",-,"1,600"
Curative Medical Associates PA,1608 Royston Lane,Round Rock,WILLIAMSON,"2,000",-,"2,000"
Lone Star Circle Care Taylor Hlth Ctr,601 Mallard Ln Ste A,Taylor,WILLIAMSON,100,-,100
Connally Memorial Medical Center,499 10th St,Floresville,WILSON,600,-,600
Winkler County Rural Health Clinic,828 Myer Ln,Kermit,WINKLER,200,-,200
Wise Health System,609 Medical Center Dr,Decatur,WISE,-,"1,170","1,170"
Brookshire's Pharmacy 015,1478 N Beaulah St,Hawkins,WOOD,100,-,100
Brookshires Pharmacy 031,1224 N Pacific St,Mineola,WOOD,100,-,100
South Plains Public Health District - Denver City,415 Mustang Dr,Denver City,YOAKUM,200,-,200
Graham Regional Medical Center,1301 Montgomery Rd,Graham,YOUNG,300,-,300
Olney Hamilton Hospital District,901 W Hamilton St,Olney,YOUNG,200,-,200
Zapata Primary Care - Zapata 1,105 S Us Highway 83,Zapata,ZAPATA,300,-,300
Chldns Cl Dimmit& Zavala Pa,1313 Veterans Ave Ste C,Crystal City,ZAVALA,100,-,100

