Providers Name,Address,City,County,Doses
Md Kids Pediatrics Lomaland,1570 Lomaland Dr Ste A,El Paso,EL PASO,200
Mt West Family Health Center,6151 Dew Dr,El Paso,EL PASO,500
Pediatric Group Of Central El Paso - Zaragoza,1512 N Zaragoza Rd Ste A1,El Paso,EL PASO,500
Texas Tech Family And Community Medicine,9849 Kenworthy St,El Paso,EL PASO,100
Texas Tech Physicians Of El Paso At Transmountain Family Me 2000-B Transmountain Rd,,El Paso,EL PASO,900
Texas Tech University Health Sciences Center El Paso Occupat 4801 Alberta Ave Ste A02,,El Paso,EL PASO,2000
The Hospitals Of Providence Sierra Campus,1625 Medical Center Dr,El Paso,EL PASO,700
The Hospitals Of Providence Transmountain Campus,2000 Transmountain Road,El Paso,EL PASO,400
Umc El Paso Clinic Ysleta,300 S Zaragoza Rd,El Paso,EL PASO,500
Umc Neighborhood Healthcare Center West,6600 N Desert Blvd,El Paso,EL PASO,500
Umc Nhc East,1521 Joe Battle Blvd.,El Paso,EL PASO,500
Ysleta Health Center El Paso Dph,110 Candelaria St,El Paso,EL PASO,300
Umc El Paso Neighborhood Health Fabens,101 Potasio,Fabens,EL PASO,300
HEB Pharmacy 107,101 S Clay St,Ennis,ELLIS,100
Brookshires Pharmacy 69,1400 E Main St,Midlothian,ELLIS,100
"Healthcare Associates of Irving, LLP",661 E Main St,Midlothian,ELLIS,200
Brookshires Pharmacy 108,Po Box 1709,Red Oak,ELLIS,100
Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,Waxahachie,ELLIS,700
Heb Pharmacy 426,800 N Hwy 77,Waxahachie,ELLIS,100
Waxahachie Pharmacy LLC,401 N high way 77,Waxahachie,ELLIS,100
HEB Pharmacy 6,2150 W Washington St,Stephenville,ERATH,100
Texas Department of Criminal Justice Hobby,742 FM 712,Marlin,FALLS,100
Brookshires Pharmacy 54,2228 Island Byu,Bonham,FANNIN,100
Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,200
Puckett Family Clinic,1301 E Main St,Honey Grove,FANNIN,500
Heb Pharmacy 416,450 E Travis St,La Grange,FAYETTE,100
St. Marks Medical Center,One St. Marks Place,La Grange,FAYETTE,500
HEB Pharmacy 596,6711 South Fry Rd,Katy,FORT BEND,100
HEB Pharmacy 615,25675 Nelson Way,Katy,FORT BEND,100
HEB Pharmacy 736,4950 Fm 1463 Rd,Katy,FORT BEND,100
Next Level Urgent Care Cinco Ranch,10705 Spring Green Blvd. Suite 600,Katy,FORT BEND,200
Next Level Urgent Care Katy,1420 Katy Fort Bend Road Suite 105,Katy,FORT BEND,200
Fort Bend Pediatrics,4646 Riverstone Blvd,Missouri City,FORT BEND,100
Glenn Lakes Pharmacy Inc,3640 Glenn Lakes Ln,Missouri City,FORT BEND,200
HEB Pharmacy 110,8900 Highway 6,Missouri City,FORT BEND,100
Heb Pharmacy 474,4724 Highway 6,Missouri City,FORT BEND,100
Next Level Urgent Care Sienna,8720 Highway 6 Suite 400,Missouri City,FORT BEND,200
Ut Physicians,8810 Highway 6 Ste 100,Missouri City,FORT BEND,200
HEB Pharmacy 724,10161 W Grand Pkwy S,Richmond,FORT BEND,100
HEB Pharmacy 727,23500 Berry Pkwy,Richmond,FORT BEND,100
HEB Pharmacy 749,9211 Fm 723,Richmond,FORT BEND,100
Kelsey Seybold Clinic-Katy,22121 Fm 1093 Rd,Richmond,FORT BEND,500
OakBend Medical Center,1705 Jackson Street,Richmond,FORT BEND,1000
West Oaks Urgent Care III,10450 FM 1464,Richmond,FORT BEND,200
The Immunization Clinic - Stafford,3727 Greenbriar Dr Ste 403,Stafford,FORT BEND,500
"Community Health And Life Center, Pllc",17510 W Grand Pkwy S Ste 380,Sugar Land,FORT BEND,100
"DeliverIt Pharmacy Inc.,",13303 West Airport Blvd,Sugar Land,FORT BEND,100
HEB Pharmacy 563,19900 Southwest Frwy,Sugar Land,FORT BEND,100
HEB Pharmacy 627,530 Hwy 6,Sugar Land,FORT BEND,100
Houston Methodist Sugar Land Hospital,16655 Southwest Freeway,Sugar Land,FORT BEND,400
Kelsey Seybold Ft Bend Diagnostic Ctr,11555 University Blvd,Sugar Land,FORT BEND,500
Memorial Hermann Sugar Land,17500 W Grand Pkwy S,Sugar Land,FORT BEND,2500
Next Level Urgent Care Sweetwater,"16902 Southwest Freeway, Suite 108",Sugar Land,FORT BEND,1000
Randalls Pharmacy 1021,3346 Highway 6 South,Sugar Land,FORT BEND,100
St Lukes Sugar Land Hospital Medical Records,1317 Lake Pointe Prkwy,Sugar Land,FORT BEND,500
Sugar Lakes Family Practice,16902 Southwest Fwy,Sugar Land,FORT BEND,500
"Sugar Land Allergy, Asthma",4820 Sweetwater Blvd,Sugar Land,FORT BEND,500
Brookshires Pharmacy 58,306 State Hwy 37 South,Mount Vernon,FRANKLIN,100
Brookshires Pharmacy 10,300 W Us Highway 84,Fairfield,FREESTONE,400
Freestone Medical Center DBA Freestone Health Clinic,734 West Commerce,Fairfield,FREESTONE,100
Frio Regional Primary Care & Urgent Care Clinic,801 W Fm 117,Dilley,FRIO,100
Family Medicine Clinic - Pearsall,151 Medical Dr,Pearsall,FRIO,200
Frio Regional Hospital,200 S Interstate 35,Pearsall,FRIO,200
Seminole Memorial Hospital,209 Nw 8th St,Seminole,GAINES,400
South Plains Public Health District - Seminole,704 Hobbs Highway,Seminole,GAINES,100
Sullivan Pharmacy,1140 Grand Ave,Bacliff,GALVESTON,400
Heb Pharmacy 558,701 W Parkwood Ave,Friendswood,GALVESTON,100
Texas Behavioral Health,"104 Whispering Pines Ave,",Friendswood,GALVESTON,500
Randalls Pharmacy 1031,2931 Central City Avenue,Galveston,GALVESTON,100
The Hospitals of Providence East Campus,3280 Joe Battle Blvd,Galveston,GALVESTON,3000
HEB Pharmacy 28,2955 Gulf Fwy S,League City,GALVESTON,100
HEB Pharmacy 697,2755 E League City Pkwy,League City,GALVESTON,100
Village Medical- Clear Creek,302 Highway 3 S,League City,GALVESTON,400
Galveston County Health District,9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,200
Heb Pharmacy 662,3502 Palmer Highway,Texas City,GALVESTON,100
Cornerstone Clinic - Fredericksburg,514 W Windcrest St,Fredericksburg,GILLESPIE,100
HEB Pharmacy 561,407 S Adams St,Fredericksburg,GILLESPIE,100
Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,700
HEB Pharmacy 641,1841 Church St,Gonzales,GONZALES,100
Sievers Medical Clinic,1110 Sarah DeWitt Dr.,Gonzales,GONZALES,200
Harvester Health And Wellness Clinic,701 N Price Rd,Pampa,GRAY,400
PAMPA REGIONAL MEDICAL CENTER,one medical plaza,Pampa,GRAY,200
Premier Pulmonary Critical Care and Sleep Medicine,5012 S. US HWY 75,Denison,GRAYSON,300
Texomacare Family Practice - Dension,5012 Us Hwy 75 South,Denison,GRAYSON,500
Brookshires Pharmacy 127,11205 N State Hwy 289,Pottsboro,GRAYSON,100
Center For Family Medicine,1906 Hwy 82 West,Sherman,GRAYSON,500
Kidney Care Associates,600 E Taylor Street,Sherman,GRAYSON,500
The Medicine Shoppe Pharmacy 0708,1624 N Travis St,Sherman,GRAYSON,700
Brookshire's Pharmacy 008,747 Us Highway 259 N,Kilgore,GREGG,100
Christus Trinity Clinic - Kilgore,1718 S Henderson Blvd,Kilgore,GREGG,100
Brookshires Pharmacy 45,3354 Gilmer Rd,Longview,GREGG,100
Diagnostic Clinic of Longview,707 Hollybrook Drive,Longview,GREGG,400
Louis Morgan Drug 4,110 Johnston St,Longview,GREGG,100
Super 1 Pharmacy 612,1217 E Marshall Ave,Longview,GREGG,100
Super 1 Pharmacy 632,1800 S High St,Longview,GREGG,100
Brookshires Pharmacy 50,200 W Us Highway 80,White Oak,GREGG,100
Brookshires Pharmacy 6,309 N La Salle St,Navasota,GRIMES,300
Heb Pharmacy 415,17460 Ih 35 N,Schertz,GUADALUPE,100
SONA LLC OF TEXAS,6032 FM 3009,Schertz,GUADALUPE,1000
Guadalupe Regional Medical Center,1215 E Court,Seguin,GUADALUPE,800
HEB Pharmacy 716,1340 E Court St,Seguin,GUADALUPE,100
Covenant Hospital Plainview,2601 Dimmitt Rd,Plainview,HALE,1000
West Texas Family Medicine,1806 Quincy St,Plainview,HALE,200
Brookshires Pharmacy 84 - Hamilton,1004 E Main St,Hamilton,HAMILTON,100
Family Practice Rural Health Clinic,303 N Brown St,Hamilton,HAMILTON,300
Hansford County Hospital District (Hospital),707 Roland St,Spearman,HANSFORD,200
HARDEMAN COUNTY MEMORIAL HOSPITAL,402 MERCER ST,Quanah,HARDEMAN,100
Brookshires Pharmacy 36 - Kountze,90 W Monroe St,Kountze,HARDIN,400
Brookshires Pharmacy 1001,202 N Main St,Lumberton,HARDIN,400
Brookshires Pharmacy 29,333 Highway 96 S,Silsbee,HARDIN,400
Brookshires Pharmacy 59 - Sour Lake,295 Highway 105 E,Sour Lake,HARDIN,400
Altus Baytown Hospital,6501 Garth Rd,Baytown,HARRIS,400
HEB Pharmacy 742,6430 Garth Rd,Baytown,HARRIS,100
Next Level Urgent Care Baytown,7710 Garth Road Ste A,Baytown,HARRIS,200
"Bellaire Dermatology Associates, PA",6565 West Loop South,Bellaire,HARRIS,500
Clinicas Mi Doctor- #19 Bissonnet,5835 Bissonnet St,Bellaire,HARRIS,500
HEB Pharmacy 738,5106 Bissonnet St,Bellaire,HARRIS,100
Altus Baytown Hospital,14120 FM 2100,Crosby,HARRIS,500
Americas ER Site 002 LLC,13902 Spring Cypress Rd,Cypress,HARRIS,100
"Excel Urgent Care, PLLC",25801 Hwy 290,Cypress,HARRIS,100
HEB Pharmacy 20,24224 Northwest Fwy,Cypress,HARRIS,100
Heb Pharmacy 656,28550 Highway 290,Cypress,HARRIS,100
HEB Pharmacy 698,14100 Spring Cypress Rd,Cypress,HARRIS,100
HEB Pharmacy 709,9722 Fry Rd,Cypress,HARRIS,100
Next Level Urgent Care Cypress,8350 N Fry Road Ste 400,Cypress,HARRIS,200
"Deer Park Family Clinic, P.A.",2910 Center St,Deer Park,HARRIS,100
HEB Pharmacy 715,4701 East Blvd,Deer Park,HARRIS,100
Acres Home Health Center,818 Ringold St,Houston,HARRIS,100
"Annie & Chau, LP",10603 Bellaire Blvd,Houston,HARRIS,500
Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,Houston,HARRIS,3000
Berkeley Eye Center,3100 Weslayan,Houston,HARRIS,500
Centra Clinic,3751 South Dairy Ashford Road,Houston,HARRIS,500
Clinica Hispana Ii 9720 Jones,9720 Jones Rd,Houston,HARRIS,300
"Clinica Hispana II, P.A.",8410 Fondren Rd,Houston,HARRIS,500
Clinica Hispana Plaza Del Sol,14050 State Highway 249 # B,Houston,HARRIS,200
"CLINICA HISPANA, P.A.",2026 Wirt Rd,Houston,HARRIS,500
Clinicas Mi Doctor- #21 Longpoint,10058a Long Point Rd,Houston,HARRIS,100
Clinicas Mi Doctor- #23 Broadway,8225 Broadway St,Houston,HARRIS,300
Clinicas Mi Doctor- #24 Airline,5402 Airline Dr,Houston,HARRIS,500
Clinicas Mi Doctor-#18 Aldine,5230 Aldine Mail Route Rd,Houston,HARRIS,200
Derm Surgery Associates,7515 Main St Ste 240,Houston,HARRIS,500
Dr Van Tran Family Practice,1919 North Loop West,Houston,HARRIS,500
Fairway Medical Clinic 2,7701 W Bellfort St Ste 102,Houston,HARRIS,200
HCPH Main Office,2223 West Loop South,Houston,HARRIS,3000
HEB Pharmacy 109,9710 Katy Freeway,Houston,HARRIS,100
HEB Pharmacy 492,1550 Fry Rd,Houston,HARRIS,100
HEB Pharmacy 54,9828 Blackhawk Blvd,Houston,HARRIS,100
HEB Pharmacy 540,3111 Woodridge Ste 500,Houston,HARRIS,100
HEB Pharmacy 541,10100 Beechnut,Houston,HARRIS,100
HEB Pharmacy 551,11815 Westheimer,Houston,HARRIS,100
HEB Pharmacy 553,4955 Highway 6 N,Houston,HARRIS,100
HEB Pharmacy 576,7310 Louetta,Houston,HARRIS,100
HEB Pharmacy 577,10251 Kempwood Dr,Houston,HARRIS,100
HEB Pharmacy 599,5225 Buffalo Speedway,Houston,HARRIS,100
HEB Pharmacy 614,12680 W Lake Houston Parkway,Houston,HARRIS,100
HEB Pharmacy 630,1701 W Alabama St,Houston,HARRIS,100
Heb Pharmacy 657,9503 Jones Rd,Houston,HARRIS,100
HEB Pharmacy 687,5895 San Felipe St,Houston,HARRIS,100
HEB Pharmacy 713,3501 Clear Lake City Blvd,Houston,HARRIS,100
HEB Pharmacy 737,2300 N Shepherd Dr,Houston,HARRIS,100
HEB Pharmacy 744,3663 Washington Ave Ste 100,Houston,HARRIS,100
HEB Pharmacy 745,4955 Beechnut,Houston,HARRIS,100
HEB Pharmacy 756,6055 South Fwy,Houston,HARRIS,100
HEB Pharmacy 99,10919 Louetta Rd,Houston,HARRIS,100
HOPE CLINIC,7001 corporate dr,Houston,HARRIS,100
Houston Fire Department Infectious Disease,1801 Smith Street,Houston,HARRIS,3000
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,3000
Houston Methodist West Hospital,18500 Katy Fwy,Houston,HARRIS,800
Houston Methodist Willowbrook Hospital,18220 State Highway 249,Houston,HARRIS,1000
Houston Pulmonary Medicine Associates,11920 Astoria Blvd,Houston,HARRIS,500
Kelsey Seybold Clinic - Houston 1,1111 Augusta Dr,Houston,HARRIS,500
Kelsey Seybold Clinic - Houston 2,15655 Cypress Woods Medical Dr.,Houston,HARRIS,500
Kelsey-Seybold Main Campus,2727 West Holcombe Blvd,Houston,HARRIS,500
Kindred Hospital Limited Partnership,6441 Main St,Houston,HARRIS,400
Legacy Community Health Southwest,6441 High Star Dr,Houston,HARRIS,2100
Lone Star Medicine And Pediatrics,6033 Airline Dr Ste C,Houston,HARRIS,100
Medical Clinic Of Houston - Houston - 1701 Sunset Boulevard,1701 Sunset Blvd,Houston,HARRIS,1000
Memorial Hermann Medical Group Cypress,13114 Fm 1960 Rd W,Houston,HARRIS,200
"Memorial Hermann Medical Group Greater Heights Family Med Medical Plaza 3, 1801 N. Loop W.",,Houston,HARRIS,1100
Memorial Hermann Medical Group Southwest Suite 350,7789 Southwest Fwy Ste 350,Houston,HARRIS,200
Memorial Hermann Medical Group Summer Creek Convenient C14201 E Sam Houston Pkwy N,,Houston,HARRIS,1500
Memorial Hermann Medical Group West University,3525 West Holcombe Blvd,Houston,HARRIS,2100
Memorial Hermann Southwest Hospital,7600 Beechnut St,Houston,HARRIS,3000
Memorial Hermann Surgery Center Southwest,7789 Southwest Frwy Suite 200,Houston,HARRIS,100
Meyerland Kelsey-Seybold Clinic,560 Meyerland Plaza Mall,Houston,HARRIS,900
Mh Urgent Care Town & Country,12740 Memorial Dr Ste 100,Houston,HARRIS,1000
Mhmg Greater Heights Ccc,1431 Studemont St Ste C2:400,Houston,HARRIS,500
"Murtaza Mussaji, D.O., P.A.",4910 Telephone Rd,Houston,HARRIS,500
Park Plaza Pediatrics,1213 Hermann Dr Ste 770,Houston,HARRIS,100
Privia Medical Group Gulf Coast,1200 Binz St,Houston,HARRIS,500
Randalls Pharmacy 1012,5219 Fm 1960 Rd W,Houston,HARRIS,100
Randalls Pharmacy 1041,4800 W Bellfort St,Houston,HARRIS,100
Randalls Pharmacy 1061,3131 W Holcombe Blvd,Houston,HARRIS,100
Randalls Pharmacy 1066,12850 Memorial Drive,Houston,HARRIS,100
School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,3000
St Joseph Medical Center,1401 St Joseph Pkwy,Houston,HARRIS,1500
Texas Orthopedic Hospital,7401 South Main St,Houston,HARRIS,300
TIRR Memorial Hermann Pharmacy,1333 Moursund St,Houston,HARRIS,800
Town And Country Family Physicians,10497 Town And Country Way Ste 360,Houston,HARRIS,200
United Memorial Medical Center,510 West Tidwell Road,Houston,HARRIS,300
Vaxanation Mobile Vaccination Clinic,14655 North West Fwy,Houston,HARRIS,500
Vcare Clinics - Houston,8121 Broadway St,Houston,HARRIS,200
Village Medical - Memorial,9055 Katy Fwy Ste 200,Houston,HARRIS,500
Walgreens Pharmacy 04161,8206 Highway 6 N,Houston,HARRIS,100
West Houston Medical Center - Houston - 12141 Richmond Ave12141 Richmond Ave,,Houston,HARRIS,1000
West Oaks Urgent Care,2150 Highway 6 S Ste 100,Houston,HARRIS,1000
West Oaks Urgent Care II,9138 West Rd,Houston,HARRIS,1000
E.A. Squatty Lyons Health Center,1712 1st St E Ste M20,Humble,HARRIS,200
HEB Pharmacy 498,7405 Fm 1960 E,Humble,HARRIS,100
Memorial Hermann Northeast,18951 N Memorial Dr,Humble,HARRIS,2500
Brookshire Brothers Pharmacy #9,5249 Franz Rd,Katy,HARRIS,500
"Encompass Health Rehabilitation Hospital of Katy,",23331 Grand Reserve Dr,Katy,HARRIS,100
Family Medicine Specialists,21800 Katy Fwy,Katy,HARRIS,500
HEB Pharmacy 497,1621 S Mason Rd,Katy,HARRIS,100
Houston Methodist CC Hsptl,701 S. Fry Road,Katy,HARRIS,600
Memorial Hermann Pharmacy Services,21501 Park Row Drive,Katy,HARRIS,1000
Texas Vaccine Institute,21811 Katy Fwy Ste D102,Katy,HARRIS,300
HEB Pharmacy 720,4517 Kingwood Dr,Kingwood,HARRIS,100
HEB Pharmacy 759,19529 Northpark Dr,Kingwood,HARRIS,100
Memorial Hermann Surgical Hospital Kingwood,300 Kingwood Medical Dr,Kingwood,HARRIS,100
The Lady with the Lamp,2323 Riverway Oak Drive,Kingwood,HARRIS,100
Altus Houston Hospital,7215 Fairmont Pkwy,Pasadena,HARRIS,500
Global Health,7720 Spencer Highway,Pasadena,HARRIS,500
Heb Pharmacy 473,6210 Fairmont Pkwy,Pasadena,HARRIS,100
Patients Medical Center Employee Health,4600 E Sam Houston Pkwy S,Pasadena,HARRIS,900
"Pcp Associates Of Pasadena, Pa",5030 Crenshaw Rd,Pasadena,HARRIS,500
Access Health Clinic,6402 Louetta Rd Ste 140,Spring,HARRIS,500
Genesis Medical Group Springwoods,2255 E Mossy Oaks Rd,Spring,HARRIS,500
HEB Pharmacy 610,2121 Fm 2920 Rd,Spring,HARRIS,100
HEB Pharmacy 725,20311 Champion Forest Dr,Spring,HARRIS,100
HEB Pharmacy 748,5251 Fm 2920,Spring,HARRIS,100
Next Level Urgent Care Champions,15882 Champion Forest Dr.,Spring,HARRIS,1000
Clinic for Cardiovascular Care,400 Holderrieth Blvd,Tomball,HARRIS,500
HCA Houston Healthcare Tomball,605 Holderreith Blvd,Tomball,HARRIS,800
HEB Pharmacy 574,28520 State Highway 249,Tomball,HARRIS,100
HEB Pharmacy 686,26500 Kuykendahl Rd,Tomball,HARRIS,100
Next Level Urgent Care Woodlands,25750 Kuykendahl Rd Suite A,Tomball,HARRIS,1000
Northwest Houston Heart Center,308 Holderrieth Blvd,Tomball,HARRIS,1000
Brookshires Pharmacy 1007,31303 Fm 2920 Rd Ste H,Waller,HARRIS,300
Deliverit Pharmacy Clear Lake,600 N Kobayashi,Webster,HARRIS,100
HCA Houston Healthcare Clear Lake,500 Medical Center Blvd,Webster,HARRIS,400
"Junaid A. Khan Md, Pa",6 Professional Park Dr,Webster,HARRIS,500
Kelsey-Seybold - Webster,1010 S Ponds Dr,Webster,HARRIS,500
Kindred Hospital Clear Lake,350 Blossom Street,Webster,HARRIS,500
Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON,300
Christus Good Shepherd Medical Center Marshall,811 S Washington Ave,Marshall,HARRISON,400
Super 1 Pharmacy 631,207 E End Blvd N,Marshall,HARRISON,100
Austin Regional Clinic-Buda,3420 Fm 967 Ste B100,Buda,HAYS,800
BSWH Buda Medical Center,5330 Overpass Rd,Buda,HAYS,100
HEB Pharmacy 477,15300 Ih 35 S,Buda,HAYS,100
HEB Pharmacy 611,598 E Hwy Us 290,Dripping Springs,HAYS,100
Austin Regional Clinic - Kyle,4100 Everett Dr Ste 400,Kyle,HAYS,300
HEB Pharmacy 14,5401 South Fm 1626,Kyle,HAYS,100
Heb Pharmacy 243,641 E Hopkins St,San Marcos,HAYS,100
Heb Pharmacy 455,200 W Hopkins St,San Marcos,HAYS,100
Premier ER San Marcos,1509 N Interstate 35,San Marcos,HAYS,100
San Marcos Family Medicine,2406 Hunter Rd,San Marcos,HAYS,500
Brookshires Pharmacy 67,14100 Ranch Road 12 Unit 2a,Wimberley,HAYS,500
HEB Pharmacy 708,14501 Ranch Road 12,Wimberley,HAYS,100
Wimberley Pharmacy,120 Joe Wimberley Blvd,Wimberley,HAYS,100
Canadian Family Physicians,1010 South 4th,Canadian,HEMPHILL,100
Hemphill County Hospital,1020 S.4th,Canadian,HEMPHILL,200
Brookshire's Pharmacy 011,807 E Tyler St,Athens,HENDERSON,100
Lakeland,117 Medical Circle,Athens,HENDERSON,500
Brookshires Pharmacy 84,Po Box 1409,Chandler,HENDERSON,100
Brookshires Pharmacy 68,210 S Seven Points Dr,Kemp,HENDERSON,100
Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON,200
Lakeland Medical Associates Gbc 040385,170 Municipal Dr,Mabank,HENDERSON,400
Heb Pharmacy 421,1211 Hwy 83e,Alamo,HIDALGO,100
Los Alamos Family Medical Center,427 E Duranta Ave,Alamo,HIDALGO,600
Cornerstone Regional Hospital,2302 Cornerstone Blvd,Edinburg,HIDALGO,200
Doctors Hospital at Renaissance,5501 South McColl Road,Edinburg,HIDALGO,3000
Edinburg Cisd School Based Health Center,1601 E Sprague St,Edinburg,HIDALGO,500
HEB Pharmacy 172,1212 S Closner Blvd,Edinburg,HIDALGO,100
HEB Pharmacy 431,2700 W Freddy Gonzalez Dr,Edinburg,HIDALGO,100
Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,1100
Yvonne Bracamontes MD PA,3111 Center Pointe Drive Suit B,Edinburg,HIDALGO,100
HEB Pharmacy 677,512 East Edinburg Ave,Elsa,HIDALGO,100
Saenz Medical Center,1000 E. Exp 83,La Joya,HIDALGO,500
"FAMILY PHYSICIANS CLINIC, LLP",606 S BROADWAY ST,McAllen,HIDALGO,500
HEB Pharmacy 212,3200 N 10th St,McAllen,HIDALGO,100
Heb Pharmacy 334,3601 Pecan Blvd,McAllen,HIDALGO,100
HEB Pharmacy 590,901 Trenton Rd,McAllen,HIDALGO,100
HEB Pharmacy 702,200 W Expressway 83,McAllen,HIDALGO,100
Hidalgo county health human service,300 East hackberry,McAllen,HIDALGO,1500
LONESTAR NEURO DIAGNOSTICS AND REHAB,4900 N 10TH ST.,McAllen,HIDALGO,100
Sanlucas Family Health Clinic,1720 Pecan Blvd,McAllen,HIDALGO,500
Valley Medical Art Clinic,5201 N 10th St,McAllen,HIDALGO,500
UTHEALTH RGV Family Health,2810 W. Expressway 83,Mercedes,HIDALGO,400
Heb Pharmacy 226,Conway And 8th St,Mission,HIDALGO,100
HEB Pharmacy 448,2206 W Palma Vista,Mission,HIDALGO,100
HEB Pharmacy 571,200 E Griffin Pkwy,Mission,HIDALGO,100
Heb Pharmacy 674,120 E Mile 3 Rd,Mission,HIDALGO,100
HEB Pharmacy 94,2409 East Expressway 83,Mission,HIDALGO,100
Hidalgo County Hhs Mission,211 N. Schuerbach Rd,Mission,HIDALGO,500
Medina Clinic - Mission,1924 E Griffin Pkwy,Mission,HIDALGO,100
Heb Pharmacy 642,1300 S Cage Blvd,Pharr,HIDALGO,100
Hidalgo County Health and Human Services Pharr,300 W. Hall Acres Rd,Pharr,HIDALGO,300
norma iglesias m.d. and assoc,712 SOUTH CAGE BLVD,Pharr,HIDALGO,500
PHARR CHILDRENS DAY AND NIGHT CLINIC,807 NORTH CAGE,Pharr,HIDALGO,100
HEB Pharmacy 38,901 W Expressway 83,San Juan,HIDALGO,100
Norma Igelsias Md And Associates,1205 N Raul Longoria Rd Ste H,San Juan,HIDALGO,500
Heb Pharmacy 231,1004 N Texas Ave,Weslaco,HIDALGO,100
HEB Pharmacy 485,310 N Westgate Dr,Weslaco,HIDALGO,100
Hidalgo County Hhs Weslaco,1901 N. Bridge Ave.,Weslaco,HIDALGO,100
Knapp Medical Center,1401 E 8th St,Weslaco,HIDALGO,600
Brookshires Pharmacy 53,120 S Waco St,Hillsboro,HILL,100
Brookshires Pharmacy 036,1310 N Brazos St,Whitney,HILL,100
Covenant Hospital Levelland,1900 College Avenue,Levelland,HOCKLEY,200
"South Plains Rural Health Services, Inc.",1000 FM 300,Levelland,HOCKLEY,100
Brookshires Pharmacy 94,1301 S Morgan St,Granbury,HOOD,100
Granbury Hospital Corporation,1310 Paluxy Rd,Granbury,HOOD,700
HEB Pharmacy 631,3804 Us Hwy 377,Granbury,HOOD,100
Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS,100
Christus Trinity Clinic - Sulphur Springs,"105 Medical Plaza, Building 1",Sulphur Springs,HOPKINS,200
Brookshires Pharmacy 85,401 N 4th St,Crockett,HOUSTON,500
Brookshires Pharmacy 112,1111 N Hwy 287,Grapeland,HOUSTON,200
Big Spring State Hospital,1901 N Us Highway 87,Big Spring,HOWARD,500
HEB Pharmacy 51,2000 S Gregg St,Big Spring,HOWARD,100
Scenic Mountain Medical Ctr,1601 W 11th Pl,Big Spring,HOWARD,300
Steve Ahmed Md Pa,1700 W Fm 700,Big Spring,HOWARD,100
Brookshires Pharmacy 52,1603 Culver St,Commerce,HUNT,100
Brookshires Pharmacy 74,6410 Wesley St,Greenville,HUNT,100
Super 1 Pharmacy 615,4811 Wesley St,Greenville,HUNT,100
Brookshires Pharmacy 87,8929 State Highway 34 S,Quinlan,HUNT,100
High Plains Family Medicine,104 N Bryan St,Borger,HUTCHINSON,100
UNITED PHARMACY #539,1414 WEST WILSON,Borger,HUTCHINSON,100
Heb Pharmacy 351,103 W Elm St,Edna,JACKSON,100
Jackson County Hospital District,1013 S Wells,Edna,JACKSON,300
Brookshires Pharmacy 76 - Ganado,305 W York,Ganado,JACKSON,200
Brookshire Brothers Pharmacy #64,34692 Us Highway 96 S,Buna,JASPER,100
Brookshires Pharmacy 45 - Jasper,1125 S Wheeler St,Jasper,JASPER,500
Kalyan K. Rath MD,1273 S. Peachtree,Jasper,JASPER,200
ABULATORY STRATEGIES PHYSICIAN GROUP,4046 Dowlen Road,Beaumont,JEFFERSON,500
Beaumont Family Practice,6450 Folsom Dr,Beaumont,JEFFERSON,500
HEB Pharmacy 48,3015 North Dowlen Rd,Beaumont,JEFFERSON,100
HEB Pharmacy 692,3590 College St,Beaumont,JEFFERSON,100
HEB Pharmacy 589,4800 Highway 365,Port Arthur,JEFFERSON,100
Market Basket Pharmacy 17,864 Magnolia Ave,Port Neches,JEFFERSON,600
Christus Spohn Health System Alice,2500 E Main St,Alice,JIM WELLS,200
HEB Pharmacy 223,1115 E Main St,Alice,JIM WELLS,100
HEB Pharmacy 16,165 Nw John Jones Dr,Burleson,JOHNSON,100
Cleburne Fire Department,114 W. Wardville Dr.,Cleburne,JOHNSON,500
HEB Pharmacy 679,600 W Henderson St,Cleburne,JOHNSON,100
Brookshires Pharmacy 133,1001 Joshua Station St,Joshua,JOHNSON,100
HEB Pharmacy 693,107 N Sunset Strip St,Kenedy,KARNES,100
Brookshires Pharmacy 89,Po Box 1230,Forney,KAUFMAN,100
Brookshires Pharmacy 035,2235 S Washington St,Kaufman,KAUFMAN,100
Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,KAUFMAN,100
HEB Pharmacy 621,420 W Bandera,Boerne,KENDALL,100
My Urgent Clinic LLC dba My Urgent Care Clinic,910 River Road,Boerne,KENDALL,1000
Heb Pharmacy 655,313 Sidney Baker Drive S,Kerrville,KERR,100
HEB Pharmacy 89,300 Main St,Kerrville,KERR,100
