Provider Name,Address,City,County,Doses
Walgreens Pharmacy 09448,606 W Ennis Ave,Ennis,ELLIS,100
Brookshires Pharmacy 69,1400 E Main St,Midlothian,ELLIS,100
Kroger Pharmacy 596,2200 Fm 663,Midlothian,ELLIS,100
Walgreens Pharmacy 09721,1481 E Main St,Midlothian,ELLIS,100
Brookshires Pharmacy 108,Po Box 1709,Red Oak,ELLIS,100
Walgreens Pharmacy 9947,107 E Ovilla Rd,Red Oak,ELLIS,100
Heb Pharmacy 426,800 N Hwy 77,Waxahachie,ELLIS,100
The Prescription Shop,120 S Grand Ave,Waxahachie,ELLIS,100
Walgreens Pharmacy 06562,1201 Ferris Ave,Waxahachie,ELLIS,100
Waxahachie Pharmacy LLC,401 N high way 77,Waxahachie,ELLIS,100
HEB Pharmacy 6,2150 W Washington St,Stephenville,ERATH,200
Walgreens Pharmacy 09040,2315 W Washington St,Stephenville,ERATH,200
Puckett Family Clinic,1301 E Main St,Honey Grove,FANNIN,300
Payne Family Pharmacy,200 S Main St,Floydada,FLOYD,100
Cogdell Rural Health Clinic,320 N Main St,Lockney,FLOYD,100
Ibn Sina Foundation Community Clinic,16345 S Post Oak Rd,Houston,FORT BEND,100
Kroger Pharmacy 347,9303 Hwy 6 South,Houston,FORT BEND,100
Kroger Pharmacy 336,22150 Westheimer Pkwy,Katy,FORT BEND,100
Kroger Pharmacy 733,1550 W Grand Pkwy S,Katy,FORT BEND,100
Next Level Urgent Care Falcon Landing,9722 Gaston Road Suite 190,Katy,FORT BEND,300
Ut Physicians,8810 Highway 6 Ste 100,Missouri City,FORT BEND,100
Kroger Pharmacy 392,6425 Fm 1464 Rd,Richmond,FORT BEND,200
Kroger Pharmacy 397,8011 W Grand Pkwy S,Richmond,FORT BEND,100
Next Level Urgent Care,301 Jackson St,Richmond,FORT BEND,100
Next Level Urgent Care Longmeadow,7101 Grand Parkway #180,Richmond,FORT BEND,300
Pediatric Center Richmond,1300 Main Street,Richmond,FORT BEND,100
Randalls Pharmacy 2670,1890 Fm 359 Rd,Richmond,FORT BEND,100
syed a gardezi md,1628 crabb river rd,Richmond,FORT BEND,100
Texas Department of Criminal Justice Jester III,3 Jester Rd,Richmond,FORT BEND,100
Texas Department of Criminal Justice Jester IV,4 Jester Rd.,Richmond,FORT BEND,100
Kroger Pharmacy 010,24401 Brazos Town Xing,Rosenberg,FORT BEND,100
Memorial Hermann Medical Group Rosenberg,2520 BF Terry Blvd,Rosenberg,FORT BEND,100
Kroger Pharmacy 320,4825 Sweetwater Blvd,Sugar Land,FORT BEND,100
Kroger Pharmacy 375,11565 State Hwy 6 South,Sugar Land,FORT BEND,100
Memorial Hermann Pharmacy - Sugar Land,17510 W GRAND PKWY S,Sugar Land,FORT BEND,100
Sugar Land Rehab Hospital,7622 Branford Pl,Sugar Land,FORT BEND,100
Brookshires Pharmacy 58,306 State Hwy 37 South,Mount Vernon,FRANKLIN,100
Franklin County Rural Health Clinic,506 Texas Highway 37,Mount Vernon,FRANKLIN,100
Texas Department of Criminal Justice BOYD,200 Spur 113,Teague,FREESTONE,100
Frio Regional Primary Care & Urgent Care Clinic,801 W Fm 117,Dilley,FRIO,100
Family Medicine Clinic - Pearsall,151 Medical Dr,Pearsall,FRIO,300
Jose I Sosa Md,151 Medical Dr,Pearsall,FRIO,100
Bay Colony Pediatrics,2251 Fm 646 Rd W,Dickinson,GALVESTON,100
Kroger Pharmacy 743,151 N Friendswood Dr,Friendswood,GALVESTON,200
Village Medical,102 N Friendswood Dr Ste 100,Friendswood,GALVESTON,100
Kroger Pharmacy 302,5730 Seawall Blvd,Galveston,GALVESTON,100
Kroger Pharmacy 144,1920 W League City Pkwy,League City,GALVESTON,100
Randalls Pharmacy 2051,2951 Marina Bay Drive,League City,GALVESTON,200
Your Family Healthcare,14310 Highway 6,Santa Fe,GALVESTON,100
LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,400
Marathon Petroleum Texas City,2401 5th Ave S,Texas City,GALVESTON,200
Albertsons Pharmacy 0716,200 West Crawford Street,Denison,GRAYSON,100
Med-Choice Pharmacy,2300 W Morton St Ste 121,Denison,GRAYSON,100
Kroger Pharmacy 824,1820 N Loy Lake Rd,Sherman,GRAYSON,300
Kroger Pharmacy 959,701 W Marshall Ave,Longview,GREGG,100
Longview Cancer Center,1300 N 4th St,Longview,GREGG,100
Longview Wellness Center,705 E MARSHALL AVE,Longview,GREGG,300
Louis Morgan Drugs #1,1900 S High St,Longview,GREGG,100
Savon Pharmacy 4112,3603 McCann Road,Longview,GREGG,100
Wellness Pointe - Pinetree,1761 W Loop 281,Longview,GREGG,300
Wellness Pointe General Medicine 040583,1107 East Marshall Ave Building 3,Longview,GREGG,300
Woman And Child Health Center Of Longview,402 N 7th St,Longview,GREGG,200
Texas Department of Criminal Justice Luther,1800 Luther Drive,Navasota,GRIMES,100
Texas Department of Criminal Justice Pack 1,2400 Wallace Pack Road,Navasota,GRIMES,100
City of Schertz EMS,1400 Schertz Parkway,Schertz,GUADALUPE,500
Heb Pharmacy 415,17460 Ih 35 N,Schertz,GUADALUPE,100
Kellum Family Medicine,3401 Fm 3009,Schertz,GUADALUPE,200
Walgreens Pharmacy 05963,3801 Fm 3009,Schertz,GUADALUPE,100
HEB Pharmacy 716,1340 E Court St,Seguin,GUADALUPE,100
Seguin Family Health Center,1104 Jefferson Ave,Seguin,GUADALUPE,100
Susan L Boullioun Md Family Practice,113 E Cedar St,Seguin,GUADALUPE,100
Walgreens Pharmacy 09810,1357 E Court St,Seguin,GUADALUPE,100
Amigos Pharmacy 508,2403 N Columbia St,Plainview,HALE,100
West Texas Family Medicine,1806 Quincy St,Plainview,HALE,100
Hardeman County Clinic,404 Mercer St,Quanah,HARDEMAN,100
United Pharmacy 514,1000 W 11th St,Quanah,HARDEMAN,200
Lhd Hardin County Health Department (Re),1135 Redwood,Kountze,HARDIN,300
Kelsey Seybold Clinic Baytown,6300 Garth Rd Ste 200,Baytown,HARRIS,200
Kroger Pharmacy 150,6315 Garth Rd,Baytown,HARRIS,100
Legacy Community Health Services,4301 Garth Rd Ste 400,Baytown,HARRIS,100
"Bellaire Dermatology Associates, PA",6565 West Loop South,Bellaire,HARRIS,300
Randalls Pharmacy 3064,5130 Bellaire Blvd,Bellaire,HARRIS,200
St Hope Foundation Inc,6800 West Loop S Ste 560,Bellaire,HARRIS,200
Fairfield Family Physicians,15201 Mason Rd Ste 1200,Cypress,HARRIS,100
Kroger Pharmacy 115,9703 Barker Cypress Rd,Cypress,HARRIS,100
Kroger Pharmacy 327,13135 Louetta Rd,Cypress,HARRIS,100
Kroger Pharmacy 352,18030 Fm 529 Rd,Cypress,HARRIS,100
Kroger Pharmacy 362,17455 Spring Cypress Rd,Cypress,HARRIS,100
"Deer Park Family Clinic, P.A.",2910 Center St,Deer Park,HARRIS,100
Kroger Pharmacy 744,3135 Fm 528,Friendswood,HARRIS,100
AIRLINE DOCTORS FAMILY AND PEDIATRIC CLINICS,5990 airline drive,Houston,HARRIS,100
Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,Houston,HARRIS,1000
Ben Taub General Hospital,1504 Taub Loop,Houston,HARRIS,1950
Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,1000
Clinica De Ninos - Houston,6445 High Star Dr,Houston,HARRIS,100
COH Northside Health Center,8504 Schuller,Houston,HARRIS,300
East Belt Family Medicine,5402 E Sam Houston Pkwy N,Houston,HARRIS,100
Fondren Orthopedic Group LLP,7401 Main Street,Houston,HARRIS,300
HCPH Main Office,2223 West Loop South,Houston,HARRIS,3000
Holmsten Family & Occupational Medicine,7545 S. Braeswood,Houston,HARRIS,100
HOPE CLINIC,7001 corporate dr,Houston,HARRIS,100
Houston Area Community Services,2150 W 18th St Ste 300,Houston,HARRIS,100
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,3000
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,8875
Ibn Sina Community,5012 North Shepherd Dr,Houston,HARRIS,500
Kelsey-Seybold Main Campus,2727 West Holcombe Blvd,Houston,HARRIS,500
Kroger Pharmacy 017,1440 Studemont St,Houston,HARRIS,100
Kroger Pharmacy 156,6322 Telephone Rd,Houston,HARRIS,100
Kroger Pharmacy 243,3300 Montrose Blvd,Houston,HARRIS,100
Kroger Pharmacy 275,13133 Veterans Memorial Dr,Houston,HARRIS,100
Kroger Pharmacy 300,1950 El Dorado Blvd,Houston,HARRIS,100
Kroger Pharmacy 309,1801 S Voss Rd,Houston,HARRIS,100
Kroger Pharmacy 311,9330 Jones Rd,Houston,HARRIS,100
Kroger Pharmacy 312,1035 N Shepherd Dr,Houston,HARRIS,100
Kroger Pharmacy 349,1520 Eldridge Pkwy,Houston,HARRIS,100
Kroger Pharmacy 355,1938 W Gray St,Houston,HARRIS,100
Kroger Pharmacy 363,9919 Westheimer @ Elmside,Houston,HARRIS,100
Kroger Pharmacy 366,12434 State Highway 249,Houston,HARRIS,100
Kroger Pharmacy 371,12222 Jones Road,Houston,HARRIS,100
Kroger Pharmacy 374,8550 Highway 6 N,Houston,HARRIS,100
Kroger Pharmacy 385,16400 El Camino Real,Houston,HARRIS,100
Kroger Pharmacy 395,360 Cypress Creek Pkwy,Houston,HARRIS,100
Kroger Pharmacy 396,6350 N Eldridge Pkwy,Houston,HARRIS,100
Kroger Pharmacy 607,2300 Gessner Rd,Houston,HARRIS,100
Kroger Pharmacy 735,12555 Briar Forest Dr,Houston,HARRIS,100
Kroger Pharmacy 737,12400 Fm 1960 Rd W,Houston,HARRIS,100
Kroger Pharmacy 740,7747 Kirby Dr,Houston,HARRIS,100
Kroger Pharmacy 746,11701 S. Sam Houston Pkwy.,Houston,HARRIS,100
Kroger Pharmacy 748,10010 Cypresswood Dr,Houston,HARRIS,100
La Nueva Casa De Amigos Health Center,1809 N Main St,Houston,HARRIS,100
Lbj Hospital - Harris County Hospital District,5656 Kelley St,Houston,HARRIS,1950
Legacy Community Health Mapleridge,6550 Mapleridge St Ste 106,Houston,HARRIS,100
Legacy Community Health Pharmacy Lyons,3811 Lyons Ave,Houston,HARRIS,100
Legacy Community Health Pharmacy Montrose,1415 California Street,Houston,HARRIS,100
Next Level Urgent Care Attucks,4330 Belfort Street,Houston,HARRIS,300
Next Level Urgent Care Hattie Mae,4400 West 18th Street,Houston,HARRIS,300
Next Level Urgent Care Meyerland,4936 Beechnut Street,Houston,HARRIS,300
Next Level Urgent Care Tanglewood,5749 San Felipe Street,Houston,HARRIS,300
Northchase Family Practice Clinic,11417 Veterans Memorial Dr,Houston,HARRIS,100
Park Plaza Pediatrics,1213 Hermann Dr Ste 770,Houston,HARRIS,100
Randalls Pharmacy 1773,2225 Louisiana St,Houston,HARRIS,100
Randalls Pharmacy 2672,18322 Clay Rd,Houston,HARRIS,200
Randalls Pharmacy 3067,5161 San Felipe,Houston,HARRIS,200
Randalls Pharmacy 4033,5586 Weslayan,Houston,HARRIS,200
Samuel Gan MD,6918 Corporate Dr Ste A10,Houston,HARRIS,100
School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,975
Sharpstown Health Services,6201 Bonhomme,Houston,HARRIS,100
Sheng Kun Yao Md,9440 Bellaire Blvd,Houston,HARRIS,100
Spring Branch Community Health Center Pitner,8575 Pitner Rd,Houston,HARRIS,100
Spring Branch Community Health Center-Whole Life,1905 Jacquelyn Dr Ste 101,Houston,HARRIS,100
St Hope Foundation,255 Northpoint Dr Ste 200,Houston,HARRIS,200
St Johns Physician,9180 Bellaire Blvd,Houston,HARRIS,100
Sunnyside Health Center,4605 Wilmington St,Houston,HARRIS,100
TCH Main,6621 Fannin St Mc 22510,Houston,HARRIS,1275
Tejas Medical Associates,6510 Hillcroft St Ste 200,Houston,HARRIS,100
Texas Oncology Pa Willowbrook,13215 Dotson Rd,Houston,HARRIS,100
The Heights Emergency Room,101 North Loop W,Houston,HARRIS,100
Tlc Clinic Pllc,12600 Scarsdale Blvd Ste A,Houston,HARRIS,100
Ut Physicians Greens Clinic,550 Greens Parkway Ste 150,Houston,HARRIS,300
UT PHYSICIANS MULTISPECIALTY CLINIC-VICTORY,7364 Antoine Dr,Houston,HARRIS,500
Ut Physicians Multispecialty-Jensen,2620 E Crosstimbers St Ste 100,Houston,HARRIS,100
Utp Heights Clinic,925 N Shepherd Dr,Houston,HARRIS,100
Walgreens Pharmacy 04027,5200 Westheimer Rd,Houston,HARRIS,100
Wellmed Management,9380 W Sam Houston Pkwy,Houston,HARRIS,200
Avenue 360 Health And Wellness Humble,9816 Memorial Blvd Ste 120,Humble,HARRIS,100
Kroger Pharmacy 190,9475 Fm 1960 Bypass Rd W,Humble,HARRIS,100
Kroger Pharmacy 318,19250 WEST LAKE HOUSTON PKWY,Humble,HARRIS,100
Northeast Ped Associates Humble,104 E Main St,Humble,HARRIS,100
Se Texas Er & Hospital,19211 Mckay Dr,Humble,HARRIS,300
Katy Medical Complex Pharmacy,21700 Kingsland Blvd,Katy,HARRIS,100
Kroger Pharmacy 378,6055 Fry Rd,Katy,HARRIS,100
Memorial Hermann Surgery Center Katy LLP,23920 Katy Freeway,Katy,HARRIS,100
Mhmg Katy,23960 Katy Fwy,Katy,HARRIS,100
Mhmg Katy Occupational Medicine,23920 Katy Fwy Ste 540,Katy,HARRIS,100
Randalls Pharmacy 2671,525 S Fry Rd,Katy,HARRIS,100
Texas Oncology Pa Katy,1331 W Grand Pkwy N Ste 340,Katy,HARRIS,100
West Houston Community Health Center,19333 Clay Rd,Katy,HARRIS,100
Zealth Care Pllc,19121 W Little York Rd Ste B,Katy,HARRIS,200
Kroger Pharmacy 310,3410 NORTHPARK DR,Kingwood,HARRIS,100
HCA Houston Healthcare Southeast,4000 spencer highway,Pasadena,HARRIS,100
Vcare Clinics - Pasadena,2615 Strawberry Rd,Pasadena,HARRIS,100
Next Level Urgent Care Pearland,8325 Broadway Suite 220,Pearland,HARRIS,300
Kroger Pharmacy 130,2150 Spring Stuebner Rd,Spring,HARRIS,100
Kroger Pharmacy 307,15802 Champion Forest Dr,Spring,HARRIS,100
Kroger Pharmacy 358,5671 Treaschwig Rd,Spring,HARRIS,100
Kroger Pharmacy 364,6060 Fm 2920 Rd,Spring,HARRIS,100
Kroger Pharmacy 376,18518 Kuykendahl Rd,Spring,HARRIS,100
Kroger Pharmacy 738,8745 Spring Cypress Rd,Spring,HARRIS,100
Kroger Pharmacy 117,24350 Kuykendahl Rd,Tomball,HARRIS,100
Kroger Pharmacy 390,14060 Fm 2920 Rd,Tomball,HARRIS,100
Park Manor of Tomball,Park Manor of Tomball,Tomball,HARRIS,100
Tomball Regional Internal Medicine Associates,13414 Medical Complex Dr.,Tomball,HARRIS,100
Royal Health Clinic,31315 Fm 2920 Rd Ste 3,Waller,HARRIS,100
University Of Texas Medical Branch - Clear Lake,200 Blossom,Webster,HARRIS,200
Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON,100
Kroger Pharmacy 953,300 E. End Blvd. (Hwy 80),Marshall,HARRISON,100
Marshall-Harrison County Health District (Re),805 Lindsey Dr,Marshall,HARRISON,100
Super 1 Pharmacy 631,207 E End Blvd N,Marshall,HARRISON,100
Walgreens Pharmacy 06196,309 E End Blvd N,Marshall,HARRISON,100
Coon Memorial Hospital,1411 Denver Ave,Dalhart,HARTLEY,300
United Pharmacy 534,1601 Tennessee Ave,Dalhart,HARTLEY,100
The Drug Store,100 S Avenue E,Haskell,HASKELL,100
Dripping Springs Pharmacy,100 Commons Rd Suite 1,Dripping Springs,HAYS,100
Canadian Family Physicians,1010 South 4th,Canadian,HEMPHILL,200
Medical Associates Of Athens,115 Medical Cir Ste 108,Athens,HENDERSON,200
Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON,100
Ut Health Rgv Employee Health Edinburg,1210 W Schunior St,Edinburg,HIDALGO,1950
Yvonne Bracamontes MD PA,3111 Center Pointe Drive Suit B,Edinburg,HIDALGO,500
Hidalgo County HHS Hidalgo,702 E Ramon Ayala Dr,Hidalgo,HIDALGO,100
Ashley Pediatrics Day And Night Clinic La Joya,328 A E. Expressway 83,La Joya,HIDALGO,100
Lees Pharmacy North,5120 N 10th St,McAllen,HIDALGO,100
Mcallen Oncology,5401 N G St,McAllen,HIDALGO,100
South Texas Health System Heart,1900 South D Street,McAllen,HIDALGO,400
Argenal Pediatrics And Family Care,516 N Shary Rd,Mission,HIDALGO,100
Clinica Sagrado Corazon,3401 W Mile 5 Rd Ste 1,Mission,HIDALGO,100
La Joya's Neighborhood Doctors,2121 E Griffin Pkwy,Mission,HIDALGO,100
"Rawls Rx, LLC",1112 E. Griffin Pkwy,Mission,HIDALGO,100
Ashley Pediatrics Day And Night Clinic,17927 Washington Palm Dr,Penitas,HIDALGO,100
Eduardo Guzman Md,2308 Hwy 83 Ste F,Penitas,HIDALGO,100
Industrial Health Works,6201 South Cage Blvd,Pharr,HIDALGO,100
norma iglesias m.d. and assoc,712 SOUTH CAGE BLVD,Pharr,HIDALGO,100
Norma Iglesias Md And Associates,1205 N Raul Longoria Rd Ste H,San Juan,HIDALGO,200
Nuestra Clinica del Valle Inc.,801 W. 1st Street,San Juan,HIDALGO,100
Wellmed Management,1001 James St,Weslaco,HIDALGO,100
Brookshires Pharmacy 53,120 S Waco St,Hillsboro,HILL,100
Brookshires Pharmacy 036,1310 N Brazos St,Whitney,HILL,100
Eubank Drug LLC,1510 N BRAZOS ST,Whitney,HILL,100
Howard County Community Health Center,1300 S Gregg St,Big Spring,HOCKLEY,100
United Pharmacy 509,511 College Ave,Levelland,HOCKLEY,100
Brookshires Pharmacy 94,1301 S Morgan St,Granbury,HOOD,100
HEB Pharmacy 631,3804 Us Hwy 377,Granbury,HOOD,100
Walgreens Pharmacy 05921,1050 E Us Highway 377,Granbury,HOOD,100
Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS,100
Christus Mother Frances Hospital - Sulphur Springs,115 Airport Rd,Sulphur Springs,HOPKINS,200
Walgreens Pharmacy 11910,1130 S Broadway St,Sulphur Springs,HOPKINS,100
Houston County Family Medical Clinic,1501 E Loop 304 Ste 50,Crockett,HOUSTON,100
UNITED PHARMACY #539,1414 WEST WILSON,Borger,HUTCHINSON,100
"City Drug Store of Jacksboro, Inc.",104 East Belknap,Jacksboro,JACK,100
Lhd Jasper-Newton Co Phealth Dist (Re),139 W Lamar St,Jasper,JASPER,100
Christus Health St Elizabeth Hospital,2830 Calder St,Beaumont,JEFFERSON,975
Legacy Community Health (Central Stagg Lcsp),3455 Stagg Dr.,Beaumont,JEFFERSON,100
Texas Department of Criminal Justice Stiles,3060 FM 3514,Beaumont,JEFFERSON,100
Lhd Port Arthur City Health Dept (Re),449 Austin Ave,Port Arthur,JEFFERSON,100
HEB Pharmacy 223,1115 E Main St,Alice,JIM WELLS,200
Walgreens Pharmacy 10231,1055 E Main St,Alice,JIM WELLS,200
Best Value West Pharmacy,124 W Renfro,Burleson,JOHNSON,100
HEB Pharmacy 16,165 Nw John Jones Dr,Burleson,JOHNSON,100
Kroger Pharmacy 591,1631 Sw Wilshire Blvd,Burleson,JOHNSON,100
Walgreens Pharmacy 05377,833 Sw Wilshire Blvd,Burleson,JOHNSON,100
Best Value Royce's Pharmacy,502 N Main St,Cleburne,JOHNSON,100
Genoa Healthcare Llc 20076,1601 N Anglin St Ste 113,Cleburne,JOHNSON,100
HEB Pharmacy 679,600 W Henderson St,Cleburne,JOHNSON,100
Kroger Pharmacy 415,1617 W Henderson St,Cleburne,JOHNSON,100
Savon 4294,210 W Katherine P Raines,Cleburne,JOHNSON,100
Walgreens Pharmacy 05434,1621 W Henderson St,Cleburne,JOHNSON,100
Brookshires Pharmacy 133,1001 Joshua Station St,Joshua,JOHNSON,100
DSHS Anson,2062 Us Hwy 277 North,Anson,JONES,100
Karnes Community Health Center,757 S PANNA MARIA,Karnes City,KARNES,100
Karnes County Family Residential Center,409 FM 1144,Karnes City,KARNES,100
HEB Pharmacy 693,107 N Sunset Strip St,Kenedy,KARNES,100
Roberto Ramirez Md,3349 S Highway 181,Kenedy,KARNES,100
Texas Department of Criminal Justice CONNALLY,899 FM 632,Kenedy,KARNES,100
Brookshires Pharmacy 89,Po Box 1230,Forney,KAUFMAN,100
Kroger Pharmacy 579,500 Marketplace Blvd,Forney,KAUFMAN,100
Walgreens Pharmacy 10817,451 Fm 548,Forney,KAUFMAN,100
Brookshires Pharmacy 035,2235 S Washington St,Kaufman,KAUFMAN,100
Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,KAUFMAN,100
Family Practice Associates,220 Wesley Dr,Kerrville,KERR,100
Heb Pharmacy 401,409 E Kleberg,Kingsville,KLEBERG,100
Walgreens Pharmacy 03917,922 E King Ave,Kingsville,KLEBERG,100
Knox County Hospital,701 Se 5th St,Knox City,KNOX,100
Texas Department of Criminal Justice COTULLA,610 FM 624,Cotulla,LA SALLE,100
Brookshires Pharmacy 014,925 Clarksville St,Paris,LAMAR,100
Kroger Pharmacy 957,1310 Clarksville St,Paris,LAMAR,100
Walgreens Pharmacy 07242,3603 Lamar Ave,Paris,LAMAR,100
DSHS Lampasas,205 Water Street,Lampasas,LAMPASAS,100
Fresenius Kidney Care,1202 Central Texas Expressway,Lampasas,LAMPASAS,100
Lavaca Family Health Clinic,1406 North Texana,Hallettsville,LAVACA,200
Brookshires Pharmacy 75,103 Main St,Normangee,LEON,100
Health Center of Southeast Texas,307 N. William Barnett Ave.,Cleveland,LIBERTY,500
Texas Department of Criminal Justice Plane,904 FM 686,Dayton,LIBERTY,100
Health Center Of Southeast Texas-Liberty,1202 N Travis St,Liberty,LIBERTY,100
Heb Pharmacy 467,701 E Milam St,Mexia,LIMESTONE,100
Parkview Regional Hospital,600 S Bonham St,Mexia,LIMESTONE,100
Health by Design Valero Three Rivers Clinic,100 W LeRoy St,Three Rivers,LIVE OAK,100
Hill Country Direct Care,904 Ford St,Llano,LLANO,100
Amigos Pharmacy 503,112 North University Avenue,Lubbock,LUBBOCK,100
Dr. Karen Soriano,9812 Slide Rd,Lubbock,LUBBOCK,100
I27 Medical Center,4105 I-27,Lubbock,LUBBOCK,300
Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,1000
Market Street Pharmacy 502,3405 50th St,Lubbock,LUBBOCK,100
Market Street Pharmacy 543,4205 98th St,Lubbock,LUBBOCK,100
Southwest Medical,4004 82nd Street,Lubbock,LUBBOCK,200
UMC Internal Medicine,808 Joliet Ave,Lubbock,LUBBOCK,200
"Umcp, Lakeridge Urgent Care",5130 82nd St,Lubbock,LUBBOCK,100
United Pharmacy 551,8010 Frankford Ave,Lubbock,LUBBOCK,100
United Pharmacy 552,6313 4th Street,Lubbock,LUBBOCK,100
Donald Freitag MD,2600 Lockwood St Ste A,Tahoka,LYNN,100
Family Wellness Clinic,1809 Lockwood Ave,Tahoka,LYNN,100
Palacios Medical Clinic,307 Green Ave.,Palacios,MATAGORDA,100
Heb Pharmacy 419,2135 E Main,Eagle Pass,MAVERICK,100
Walgreens 15993,2341 EAST MAIN,Eagle Pass,MAVERICK,100
Brady Medical Clinic,2010 Nine Rd,Brady,MCCULLOCH,200
Baylor University Student Health Services,209 Speight Ave Fl 2,Waco,MCLENNAN,100
Martin Luther King Clinic,1911 N Martin Luther King Jr Blvd,Waco,MCLENNAN,100
Providence Clinic - Londonderry,7003 Woodway Dr,Waco,MCLENNAN,100
Texas Cancer Care Research Ctr,1700 W Hwy 6,Waco,MCLENNAN,100
Waco Internal Medicine Associates,301 Richland W Cir,Waco,MCLENNAN,100
West Oak Med Clinic Pa,407 W Oak St,West,MCLENNAN,100
Heb Pharmacy 424,609 19th St,Hondo,MEDINA,100
Albertsons Pharmacy 671,3317 N Midland Dr,Midland,MIDLAND,100
Albertsons Pharmacy 674,4706 N Midkiff Road,Midland,MIDLAND,100
Allison Cancer Center,400 Rosalind Grover Pkwy,Midland,MIDLAND,100
Graham Pharmacy,1601 W Wall St,Midland,MIDLAND,100
LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,Cameron,MILAM,200
Milam Co Health Depart Rockdale,313 N Main Street,Rockdale,MILAM,200
Nocona General Hospital,100 Park Rd,Nocona,MONTAGUE,100
Conroe Willis Family Medicine,4015 Interstate 45 N Ste 220,Conroe,MONTGOMERY,300
Family First Urgent Care,2510 S Loop 336 W,Conroe,MONTGOMERY,100
Kroger Pharmacy 136,341 S Loop 336 W,Conroe,MONTGOMERY,100
Kroger Pharmacy 316,4747 Research Forest Dr,Conroe,MONTGOMERY,100
Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,200
Next Level Urgent Care Montgomery County,521 N Thompson,Conroe,MONTGOMERY,300
Davam Urgent Care,6022 Fm 1488 Rd,Magnolia,MONTGOMERY,100
Kroger Pharmacy 389,6616 Fm 1488 Rd,Magnolia,MONTGOMERY,100
Kroger Pharmacy 142,20168 Eva St,Montgomery,MONTGOMERY,100
Kroger Pharmacy 138,22030 Market Place Dr,New Caney,MONTGOMERY,100
Family Medicine At Sterling Ridge,10110 Woodlands Pkwy,Spring,MONTGOMERY,100
Hometown Pediatrics,1595 Lake Front Cir,Spring,MONTGOMERY,100
Kroger Pharmacy 373,2301 Rayford Rd,Spring,MONTGOMERY,100
Mh Urgent Care Bender's Landing,4057 Riley Fuzzel Rd Ste 1100b,Spring,MONTGOMERY,100
Kroger Pharmacy 014,12605 I-45 N,Willis,MONTGOMERY,100
Moore County Internal Medicine,1405 E 1st St Ste 101,Dumas,MOORE,100
Brookshires Pharmacy 109,609 Linda Dr,Daingerfield,MORRIS,100
East Texas Community Health Services,1309 S. University Dr.,Nacogdoches,NACOGDOCHES,100
Kroger Pharmacy 990,1215 North St,Nacogdoches,NACOGDOCHES,100
My Md Select,3618 N University Dr,Nacogdoches,NACOGDOCHES,100
Brookshires Pharmacy 14 - Newton,701 W Court St,Newton,NEWTON,200
Brookshires Pharmacy 117,501 E Broadway St,Sweetwater,NOLAN,200
Lhd Sweetwater-Nolan Co Health Dept (Re),301 E 12th St,Sweetwater,NOLAN,100
Amistad Community Health Center,1533 S Brownlee Blvd Ste 100,Corpus Christi,NUECES,200
Corpus Christi Fire Department,2406 Leopard St,Corpus Christi,NUECES,100
Corpus Christi Medical Center,3315 S Alameda St,Corpus Christi,NUECES,400
Corpus Christi Outpatient Surgery,3636 S Alameda St Ste A,Corpus Christi,NUECES,100
Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,1000
PAM Specialty Hospital Corpus Christi,345 S Water St.,Corpus Christi,NUECES,100
Post Acute Medical Rehabilitaion Hospital of Corp,345 S. Water Street,Corpus Christi,NUECES,100
Promptu Immediate Care - Saratoga,5638 Saratoga Blvd,Corpus Christi,NUECES,100
Wellmed Management,13725 Northwest Blvd,Corpus Christi,NUECES,100
United Pharmacy 525,2802 Hwy 83 South,Perryton,OCHILTREE,100
Walgreens Pharmacy 12355,1790 Texas Ave,Bridge City,ORANGE,100
Walgreens Pharmacy 03081,1408 N 16th St,Orange,ORANGE,100
Brookshires Pharmacy 270,1380 N Main St,Vidor,ORANGE,100
Walgreens Pharmacy 10139,1305 N Main St,Vidor,ORANGE,100
DSHS Mineral Wells,4113 Highway 180 E,Mineral Wells,PALO PINTO,100
Hope Community Medicine-Carthage,820 West Panola St.,Carthage,PANOLA,100
Brookshires Pharmacy 126,Po Box 587,Springtown,PARKER,100
Best Value Hometown Pharmacy,1702 Santa Fe Dr,Weatherford,PARKER,100
Weatherford Rehabilitation Hospital LLC,703 Eureka Street,Weatherford,PARKER,100
Family Healthcare Of Bovina,1100 Highway 86,Bovina,PARMER,200
