"","Provider_Name","Address","County","City","Doses_W1","Doses_W2","Doses_W3","Doses_W4","Doses_W5","Doses_W6","Doses_W7","Doses_W8","lon","lat","Sum"
"721","Hardeman County Clinic","404 Mercer St","HARDEMAN","Quanah",NA,NA,NA,100,NA,NA,NA,200,-99.7413285,34.2963475,300
"722","HARDEMAN COUNTY MEMORIAL HOSPITAL","402 MERCER ST","HARDEMAN","Quanah",NA,100,NA,NA,NA,NA,NA,NA,-99.741488,34.2966984,100
"723","Harlingen Medical Center","5501 S Expressway 77","CAMERON","Harlingen",NA,NA,800,NA,NA,NA,100,NA,-97.6748515,26.1581119,900
"724","Harrell A Grand MD","3801 Gaston Ave","DALLAS","Dallas",NA,NA,NA,100,NA,NA,NA,NA,-96.7794216,32.7924372,100
"725","Harris County Hospital District Hchd","2525 Holly Hall St","HARRIS","Houston",NA,NA,200,NA,NA,NA,NA,NA,-95.3872989,29.6862323,200
"726","Harris County Public Health","2223 West Loop South","HARRIS","Houston",NA,NA,NA,NA,8000,NA,NA,NA,-95.4565881,29.7440065,8000
"727","Harvest Drug And Gift - Wichita Falls - 4426 Kell Blvd","4426 Kell Blvd","WICHITA","Wichita Falls",NA,100,NA,300,NA,NA,NA,NA,-98.557123,33.8769943,400
"728","Harvester Health And Wellness Clinic","701 N Price Rd","GRAY","Pampa",NA,400,NA,NA,NA,NA,NA,NA,-100.9906361,35.5388256,400
"729","Hatcher Station Health Center","4600 Scyene Rd","DALLAS","Dallas",NA,NA,NA,NA,100,NA,100,NA,-96.7412378,32.7668509,200
"730","HCA Houston Healthcare Clear Lake","500 Medical Center Blvd","HARRIS","Webster",NA,400,NA,NA,200,NA,NA,NA,-95.1277345,29.5412969,600
"731","Hca Houston Healthcare Mainland","6801 Emmett F Lowry Expy","GALVESTON","Texas City",NA,NA,NA,NA,100,NA,NA,NA,-94.9858118,29.3940715,100
"732","HCA Houston Healthcare North Cypress","21214 Northwest Fwy","HARRIS","Cypress",NA,NA,800,NA,200,NA,NA,NA,-95.6315018,29.9257621,1000
"733","Hca Houston Healthcare Northwest","710 Cypress Creek Parkway","HARRIS","Houston",NA,NA,1100,NA,200,NA,NA,NA,-95.4425602,30.0204601,1300
"734","HCA Houston Healthcare Northwest",NA,"HARRIS","Houston",1950,NA,NA,NA,NA,NA,NA,NA,-95.4426393,30.0205658,1950
"735","HCA Houston Healthcare Pearland","11100 Shadow Creek Parkway","BRAZORIA","Pearland",NA,NA,100,NA,NA,NA,NA,NA,-95.3901924,29.5775464,100
"736","HCA Houston Healthcare Southeast","4000 spencer highway","HARRIS","Pasadena",NA,NA,NA,100,200,NA,NA,NA,-95.1837808,29.6612444,300
"737","HCA Houston Healthcare Southeast",NA,"HARRIS","Pasadena",975,NA,NA,NA,NA,NA,NA,NA,-95.1837808,29.6612444,975
"738","HCA Houston Healthcare Tomball","605 Holderreith Blvd","HARRIS","Tomball",NA,800,NA,NA,NA,NA,NA,NA,-95.6236173,30.0874048,800
"739","HCPH Main Office","2223 West Loop South","HARRIS","Houston",NA,3000,NA,3000,NA,9000,9000,9000,-95.4565881,29.7440065,33000
"740","Healing Hands Ministries","8515 Greenville Ave Ste N-112","DALLAS","Dallas",NA,100,NA,NA,NA,NA,NA,200,-96.754334,32.8946472,300
"741","Health by Design Valero Three Rivers Clinic","100 W LeRoy St","LIVE OAK","Three Rivers",NA,NA,NA,100,NA,NA,NA,NA,-98.1832602,28.4587722,100
"742","Health Center of Southeast Texas","307 N. William Barnett Ave.","LIBERTY","Cleveland",NA,NA,NA,500,NA,NA,NA,NA,-95.0839275,30.3442749,500
"743","Health Center Of Southeast Texas-Liberty","1202 N Travis St","LIBERTY","Liberty",NA,NA,NA,100,NA,NA,NA,100,-94.797547,30.067382,200
"744","Health Point Bcs","3370 S Texas Ave","BRAZOS","Bryan",NA,NA,NA,100,NA,NA,NA,NA,-96.3501548,30.6394937,100
"745","Health Services Of North Texas","4304 Mesa Dr","DENTON","Denton",NA,NA,NA,NA,NA,100,NA,200,-97.1771604,33.2345872,300
"746","Healthbridge Children's Hospital","2929 Woodland Park Dr","HARRIS","Houston",NA,NA,NA,NA,100,NA,NA,NA,-95.5798611,29.7324501,100
"747","Healthcare Associates Of Irving","6161 N State Highway 161","DALLAS","Irving",NA,200,NA,NA,NA,NA,NA,NA,-96.9807309,32.8916803,200
"748","Healthcare Associates of Irving LLP","7501 Lakeview Pkwy","DALLAS","Rowlett",NA,200,NA,NA,NA,NA,NA,NA,-96.5290599,32.912573,200
"749","Healthcare Associates of Irving, LLP","1001 W Southlake Blvd","TARRANT","Southlake",NA,200,NA,NA,NA,NA,NA,NA,-97.1650109,32.9407828,200
"750","Healthcare Associates of Irving, LLP","1205 Avondale Haslet Rd","TARRANT","Haslet",NA,100,NA,NA,NA,NA,NA,NA,-97.3838415,32.9684101,100
"751","Healthcare Associates of Irving, LLP","1305 Airport Fwy","TARRANT","Bedford",NA,200,NA,NA,NA,NA,NA,NA,-97.1475217,32.8386961,200
"752","Healthcare Associates of Irving, LLP","221 Regency Pkwy","TARRANT","Mansfield",NA,200,NA,NA,NA,NA,NA,NA,-97.1108296,32.5659533,200
"753","Healthcare Associates of Irving, LLP","2760 Virginia Pkwy","COLLIN","McKinney",NA,NA,NA,200,NA,NA,NA,NA,-96.6525788,33.1993816,200
"754","Healthcare Associates of Irving, LLP","3501 N MacArthur Blvd","DALLAS","Irving",NA,100,NA,NA,NA,NA,NA,NA,-96.9599366,32.8525721,100
"755","Healthcare Associates of Irving, LLP","546 E Sandy Lake Rd","DALLAS","Coppell",NA,200,NA,NA,NA,NA,NA,NA,-96.9772057,32.9703773,200
"756","Healthcare Associates of Irving, LLP","6201 Matlock Rd","TARRANT","Arlington",NA,100,NA,NA,NA,NA,NA,NA,-97.1143618,32.6441379,100
"757","Healthcare Associates of Irving, LLP","6435 South FM 549","ROCKWALL","Rockwall",NA,100,NA,NA,NA,NA,NA,NA,-96.4404379,32.8641902,100
"758","Healthcare Associates of Irving, LLP","661 E Main St","ELLIS","Midlothian",NA,200,NA,NA,NA,NA,NA,NA,-96.9863679,32.4802361,200
"759","Healthcare Associates of Irving, LLP","8700 US Hwy 380","DENTON","Aubrey",NA,100,NA,NA,NA,NA,NA,NA,-96.9951283,33.2286405,100
"760","Healthcare Associates Of Irving, LLP","910 N. Main St","TARRANT","Euless",NA,200,NA,NA,NA,NA,NA,NA,-97.0821583,32.8496435,200
"761","Healthcare Associates of Southlake","2106 East State Hwy 114","TARRANT","Southlake",NA,NA,NA,100,NA,NA,NA,NA,-97.1180204,32.9471919,100
"762","HealthCore Physicians Group","8210 Walnut Hill Ln, Suite 230","DALLAS","Dallas",NA,200,NA,NA,NA,NA,NA,NA,-96.7610675,32.8819973,200
"763","Healthpoint Abc","1602 Rock Prairie Rd","BRAZOS","College Station",NA,NA,NA,100,NA,NA,NA,NA,-96.2895514,30.5812927,100
"764","Healthpoint Centerville","607 W Lassater","LEON","Centerville",NA,NA,NA,NA,NA,100,NA,NA,-95.978292,31.2579584,100
"765","Healthpoint Franklin","808 W Us Highway 79","ROBERTSON","Franklin",NA,NA,NA,NA,NA,100,NA,NA,-96.4950415,31.0201858,100
"766","Healthpoint Hempstead","215 Fm 1488 Rd","WALLER","Hempstead",NA,NA,NA,NA,NA,100,NA,100,-96.0646514,30.097994,200
"767","Healthpoint In Hearne","709 Barton St","ROBERTSON","Hearne",NA,NA,NA,NA,NA,100,NA,NA,-96.5957329,30.8706511,100
"768","Healthpoint Madisonville","100 W Cross St","MADISON","Madisonville",NA,NA,NA,NA,NA,100,NA,NA,-95.910442,30.9422912,100
"769","Healthpoint Memorial","1301 Memorial Drive","BRAZOS","Bryan",NA,NA,NA,100,NA,NA,NA,NA,-96.3449173,30.6514311,100
"770","Healthpoint Navasota","1905 Dove Crossing Ln Ste C","GRIMES","Navasota",NA,NA,NA,NA,NA,100,NA,NA,-96.0676486,30.3888246,100
"771","Healthpoint Rockdale","1701 Pecos Ave Ste B","MILAM","Rockdale",NA,NA,NA,NA,NA,100,NA,NA,-97.0210732,30.6513003,100
"772","Healthpoint Somerville","600 Memory Lane","BURLESON","Somerville",NA,NA,NA,NA,NA,100,NA,NA,-96.5284973,30.3445587,100
"773","Healthpoint Trinity","315 Prospect Dr","TRINITY","Trinity",NA,NA,NA,NA,NA,975,NA,NA,-95.3807895,30.9564439,975
"774","Healthsouth Riosa Rehabilitation Hospital Pharmacy","9119 Cinnamon Hl","BEXAR","San Antonio",NA,NA,NA,NA,300,NA,NA,NA,-98.5841779,29.5273612,300
"775","HEALTHVILLE PHARMACY","7215 MCPHERSON RD","WEBB","Laredo",NA,100,NA,NA,NA,NA,NA,NA,-99.4719052,27.5697775,100
"776","Heart Hospital Of Austin","3801 N Lamar Blvd","TRAVIS","Austin",NA,400,NA,700,NA,NA,NA,NA,-97.7410337,30.3058537,1100
"777","Heaton Ear, Nose and Throat","1136 E Grande Blvd","SMITH","Tyler",NA,500,NA,NA,NA,NA,NA,NA,-95.2880012,32.2790625,500
"778","Heavenly Hands Family Medical Clinic Pllc","7602 Great Trinity Forest Way","DALLAS","Dallas",NA,NA,NA,100,NA,NA,NA,NA,-96.6912575,32.712311,100
"779","HEB Pharmacy 0070","1345 Barrow St","TAYLOR","Abilene",NA,100,NA,100,NA,NA,NA,NA,-99.7584586,32.4331664,200
"780","HEB Pharmacy 013","4031 E Us Highway 83","STARR","Rio Grande City",NA,100,NA,100,NA,NA,100,NA,-98.8006371,26.373242,300
"781","HEB Pharmacy 102","8503 Nw Military Hwy","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5341444,29.552849,100
"782","HEB Pharmacy 106","1015 S Ww White Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4064294,29.4151743,100
"783","HEB Pharmacy 107","101 S Clay St","ELLIS","Ennis",NA,100,NA,100,NA,NA,NA,NA,-96.6335828,32.3240459,200
"784","HEB Pharmacy 108","20935 Us Hwy 281 N","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4501323,29.6484147,100
"785","HEB Pharmacy 109","9710 Katy Freeway","HARRIS","Houston",NA,100,NA,NA,NA,NA,NA,NA,-95.5329131,29.7873725,100
"786","HEB Pharmacy 110","8900 Highway 6","FORT BEND","Missouri City",NA,100,NA,NA,NA,NA,NA,NA,-95.5365142,29.5377249,100
"787","HEB Pharmacy 136","1213 S Commerce St","CAMERON","Harlingen",NA,100,NA,NA,NA,NA,NA,NA,-97.6816037,26.1814962,100
"788","HEB Pharmacy 139","5801 Weber Rd","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.4053549,27.7118504,100
"789","HEB Pharmacy 14","5401 South Fm 1626","HAYS","Kyle",NA,100,NA,NA,NA,NA,NA,NA,-97.8620114,30.0158656,100
"790","HEB Pharmacy 16","165 Nw John Jones Dr","JOHNSON","Burleson",NA,100,NA,100,NA,NA,NA,NA,-97.3518813,32.5206366,200
"791","HEB Pharmacy 161","7112 Ed Bluestein Blvd Ste 125","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.6639668,30.3131263,100
"792","HEB Pharmacy 164","15000 San Pedro Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.476444,29.5777934,100
"793","HEB Pharmacy 168","1103 Morgan Blvd","CAMERON","Harlingen",NA,100,NA,NA,NA,NA,NA,NA,-97.6768549,26.2037622,100
"794","HEB Pharmacy 172","1212 S Closner Blvd","HIDALGO","Edinburg",NA,100,NA,NA,NA,NA,NA,NA,-98.1635608,26.2898312,100
"795","HEB Pharmacy 178","6839 San Pedro Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5002828,29.5036007,100
"796","HEB Pharmacy 182","3002 S 31st St","BELL","Temple",NA,100,NA,NA,NA,NA,NA,NA,-97.3709011,31.0721168,100
"797","HEB Pharmacy 183","9414 N Lamar Blvd","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.6980615,30.3645477,100
"798","HEB Pharmacy 184","11158 Leopard St","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.5848682,27.8463106,100
"799","HEB Pharmacy 186","2310 E Saunders","WEBB","Laredo",NA,100,NA,NA,NA,NA,NA,NA,-99.4724771,27.5312639,100
"800","HEB Pharmacy 189","2130 Culebra Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5422332,29.4461169,100
"801","HEB Pharmacy 19","19337 Mcdonald St","ATASCOSA","Lytle",NA,100,NA,NA,NA,NA,NA,NA,-98.7903024,29.2311367,100
"802","HEB Pharmacy 191","4821 Broadway St","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4646132,29.4707925,100
"803","HEB Pharmacy 195","11551 West Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5108617,29.5470128,100
"804","HEB Pharmacy 20","24224 Northwest Fwy","HARRIS","Cypress",NA,100,NA,NA,NA,NA,NA,NA,-95.6732414,29.9574758,100
"805","HEB Pharmacy 200","800 S Saint Marys St","BROOKS","Falfurrias",NA,100,NA,100,NA,NA,NA,NA,-98.1455183,27.2196838,200
"806","HEB Pharmacy 202","5808 Burnet Rd","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7410111,30.3344254,100
"807","HEB Pharmacy 205","721 Castroville Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.554162,29.4180821,100
"808","HEB Pharmacy 207","1301 Guadalupe St","WEBB","Laredo",NA,100,NA,NA,NA,NA,NA,NA,-99.4830708,27.5060056,100
"809","HEB Pharmacy 210","4320 S Alameda St","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.3707146,27.7299106,100
"810","HEB Pharmacy 211","415 N New Braunfels Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4628131,29.4247395,100
"811","HEB Pharmacy 212","3200 N 10th St","HIDALGO","McAllen",NA,100,NA,NA,NA,NA,NA,NA,-98.2235074,26.2327251,100
"812","HEB Pharmacy 218","12407 N Mopac","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7028335,30.4173204,100
"813","HEB Pharmacy 223","1115 E Main St","JIM WELLS","Alice",NA,100,NA,200,NA,NA,NA,NA,-98.0637388,27.7520495,300
"814","Heb Pharmacy 224","7951 Guilbeau Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.6440745,29.5199413,100
"815","Heb Pharmacy 225","7010 Hwy 71 W","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.8756465,30.2359738,100
"816","Heb Pharmacy 226","Conway And 8th St","HIDALGO","Mission",NA,100,NA,NA,NA,NA,NA,NA,-98.3259866,26.2018107,100
"817","Heb Pharmacy 227","2110 New Slaughter Lane","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.825078,30.1753788,100
"818","Heb Pharmacy 229","6607 S Interstate 35","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,100,-97.768718,30.188724,200
"819","Heb Pharmacy 230","14087 Oconnor Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.3868165,29.5696482,100
"820","Heb Pharmacy 231","1004 N Texas Ave","HIDALGO","Weslaco",NA,100,NA,NA,NA,NA,NA,NA,-97.9897457,26.1712028,100
"821","Heb Pharmacy 233","1616 N Alabama Rd","WHARTON","Wharton",NA,100,NA,100,NA,400,NA,NA,-96.0841376,29.3219805,600
"822","Heb Pharmacy 235","9255 Fm 471 West","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.6642643,29.4853041,100
"823","Heb Pharmacy 236","1434 W Wells Branch Pkwy","TRAVIS","Pflugerville",NA,100,NA,NA,NA,NA,NA,NA,-97.6639668,30.4420224,100
"824","Heb Pharmacy 237","1101 S Interstate 35","WILLIAMSON","Georgetown",NA,100,NA,NA,NA,NA,NA,NA,-97.6889874,30.5172898,100
"825","Heb Pharmacy 238","201 S 15th St","NAVARRO","Corsicana",NA,100,NA,NA,NA,NA,NA,NA,-96.4671613,32.0900793,100
"826","HEB Pharmacy 24","11521 North Fm 620","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.8268947,30.4522444,100
"827","Heb Pharmacy 243","641 E Hopkins St","HAYS","San Marcos",NA,100,NA,NA,NA,NA,NA,NA,-97.9262612,29.8871758,100
"828","HEB Pharmacy 25","925 10th St","WILSON","Floresville",NA,100,NA,NA,NA,NA,NA,NA,-98.1572432,29.1424218,100
"829","Heb Pharmacy 253","3500 Leopard St","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.427742,27.7981862,100
"830","Heb Pharmacy 255","4801 San Dario","WEBB","Laredo",NA,100,NA,NA,NA,NA,NA,NA,-99.5008748,27.5421291,100
"831","HEB Pharmacy 26","3524 S New Braunfels","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.460062,29.3826938,100
"832","Heb Pharmacy 262","5601 Bandera Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5947683,29.4826729,100
"833","Heb Pharmacy 263","1628 Central Blvd","CAMERON","Brownsville",NA,100,NA,NA,NA,NA,NA,NA,-97.5101725,25.9261884,100
"834","Heb Pharmacy 265","170 E Whitestone Blvd","WILLIAMSON","Cedar Park",NA,100,NA,NA,NA,NA,NA,NA,-97.8289767,30.5216371,100
"835","Heb Pharmacy 269","10710 Research Blvd","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7482926,30.3987744,100
"836","Heb Pharmacy 270","5425 S Padre Island","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.374612,27.7079428,100
"837","HEB Pharmacy 28","2955 Gulf Fwy S","GALVESTON","League City",NA,100,NA,NA,NA,NA,NA,NA,-95.0942512,29.4661132,100
"838","HEB Pharmacy 29","701 S Capital Of Texas Hwy Ste D470","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.8259962,30.2921115,100
"839","Heb Pharmacy 291","613 S Exp Hwy 83","CAMERON","Harlingen",NA,100,NA,NA,NA,NA,NA,NA,-97.7135951,26.183679,100
"840","Heb Pharmacy 292","2700 7th St","MATAGORDA","Bay City",NA,100,NA,NA,NA,NA,NA,NA,-95.95814,28.98333,100
"841","Heb Pharmacy 294","6580 Fm 78","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.3591616,29.480082,100
"842","HEB Pharmacy 31","12860 N Highway 183","WILLIAMSON","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.6942319,30.075707,100
"843","Heb Pharmacy 332","2950 Southmost Rd","CAMERON","Brownsville",NA,100,NA,NA,NA,NA,NA,NA,-97.4646983,25.9055371,100
"844","Heb Pharmacy 333","101 E Goodnight Ave","SAN PATRICIO","Aransas Pass",NA,100,NA,100,NA,500,NA,NA,-97.146297,27.9015739,700
"845","Heb Pharmacy 334","3601 Pecan Blvd","HIDALGO","McAllen",NA,100,NA,NA,NA,NA,NA,NA,-98.259266,26.2187347,100
"846","HEB Pharmacy 34","3750 Gattis School Rd","WILLIAMSON","Round Rock",NA,100,NA,NA,NA,NA,NA,NA,-97.614882,30.498959,100
"847","Heb Pharmacy 351","103 W Elm St","JACKSON","Edna",NA,100,NA,NA,NA,300,NA,NA,-96.6479624,28.9792531,400
"848","Heb Pharmacy 372","1955 Nacogdoches Rd","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.45827,29.5075448,100
"849","Heb Pharmacy 373","16900 N Fm 620","WILLIAMSON","Round Rock",NA,100,NA,NA,NA,NA,NA,NA,-97.7223212,30.5001136,100
"850","HEB Pharmacy 38","901 W Expressway 83","HIDALGO","San Juan",NA,100,NA,NA,NA,NA,NA,NA,-98.1642438,26.2033002,100
"851","Heb Pharmacy 380","651 S Walnut","COMAL","New Braunfels",NA,100,NA,NA,NA,NA,NA,NA,-98.1260048,29.6888647,100
"852","Heb Pharmacy 381","601 Indian Trl","BELL","Harker Heights",NA,100,NA,NA,NA,NA,NA,NA,-97.6541223,31.0787083,100
"853","HEB Pharmacy 382","3325 W Wadley Ave","MIDLAND","Midland",NA,100,NA,NA,NA,NA,NA,NA,-102.1257563,32.0186539,100
"854","Heb Pharmacy 384","6030 Montgomery","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.3698495,29.5092087,100
"855","Heb Pharmacy 385","300 W Olmos Dr","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.496938,29.4698978,100
"856","Heb Pharmacy 387","3801 E 42nd St","ECTOR","Odessa",NA,100,NA,NA,NA,NA,NA,NA,-102.3510174,31.8914339,100
"857","Heb Pharmacy 388","6001 W Parmer Lane","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7433678,30.4423405,100
"858","Heb Pharmacy 389","6000 West Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5250727,29.5155925,100
"859","HEB Pharmacy 39","2509 N Main","BELL","Belton",NA,100,NA,NA,NA,NA,NA,NA,-97.4545871,31.0804773,100
"860","Heb Pharmacy 395","12777 W Interstate 10","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5880706,29.5620641,100
"861","Heb Pharmacy 397","18140 San Pedro Ave","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4669278,29.6069018,100
"862","Heb Pharmacy 398","2929 Thousand Oaks Dr","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4390719,29.5767622,100
"863","Heb Pharmacy 401","409 E Kleberg","KLEBERG","Kingsville",NA,100,NA,100,NA,NA,NA,NA,-97.8636573,27.5160335,200
"864","Heb Pharmacy 403","1207 E Main St","CORYELL","Gatesville",NA,100,NA,NA,NA,NA,NA,NA,-97.743198,31.435454,100
"865","Heb Pharmacy 404","12400 Hwy 71 West","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.9323934,30.3040634,100
"866","HEB Pharmacy 411","219 W Oaklawn Rd","ATASCOSA","Pleasanton",NA,100,NA,NA,NA,NA,NA,NA,-98.4865617,28.9559917,100
"867","Heb Pharmacy 412","100 E Houston St","BEE","Beeville",NA,100,NA,100,NA,NA,NA,NA,-97.7462537,28.4005228,200
"868","Heb Pharmacy 413","3133 South Alameda","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.3911661,27.757067,100
"869","Heb Pharmacy 414","2508 S Day St","WASHINGTON","Brenham",NA,100,NA,100,NA,NA,NA,NA,-96.3979201,30.1444345,200
"870","Heb Pharmacy 415","17460 Ih 35 N","GUADALUPE","Schertz",NA,100,NA,100,NA,NA,NA,NA,-98.2778306,29.5975968,200
"871","Heb Pharmacy 416","450 E Travis St","FAYETTE","La Grange",NA,100,NA,NA,NA,NA,NA,NA,-96.8722943,29.9067801,100
"872","Heb Pharmacy 418","200 Veterans Blvd","VAL VERDE","Del Rio",NA,100,NA,100,NA,NA,NA,NA,-100.8991333,29.3660588,200
"873","Heb Pharmacy 419","2135 E Main","MAVERICK","Eagle Pass",NA,100,NA,100,NA,NA,NA,NA,-100.4849741,28.7100368,200
"874","Heb Pharmacy 421","1211 Hwy 83e","HIDALGO","Alamo",NA,100,NA,NA,NA,NA,NA,NA,-98.1230638,26.1836854,100
"875","Heb Pharmacy 423","1301 Wooded Acres Dr","MCLENNAN","Waco",NA,100,NA,NA,NA,NA,NA,NA,-97.1881817,31.533399,100
"876","Heb Pharmacy 424","609 19th St","MEDINA","Hondo",NA,100,NA,100,NA,NA,NA,NA,-99.1347195,29.3475206,200
"877","Heb Pharmacy 425","1000 E 41st Street","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7211757,30.3011177,100
"878","Heb Pharmacy 426","800 N Hwy 77","ELLIS","Waxahachie",NA,100,NA,100,NA,NA,NA,NA,-96.8399574,32.4117188,200
"879","Heb Pharmacy 427","735 Se Military Dr","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4890699,29.3570531,100
"880","Heb Pharmacy 428","6900 Brodie Ln","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.8308463,30.2163545,100
"881","HEB Pharmacy 431","2700 W Freddy Gonzalez Dr","HIDALGO","Edinburg",NA,100,NA,NA,NA,NA,NA,NA,-98.1958551,26.289267,100
"882","Heb Pharmacy 433","105 S Boundary St","BURNET","Burnet",NA,100,NA,NA,NA,NA,NA,NA,-98.2230068,30.7586721,100
"883","Heb Pharmacy 434","101 Calhoun Plz","CALHOUN","Port Lavaca",NA,100,NA,NA,NA,NA,NA,NA,-96.6377617,28.6267822,100
"884","Heb Pharmacy 441","227 E Main St","UVALDE","Uvalde",NA,100,NA,100,NA,NA,NA,NA,-99.7833801,29.2096917,200
"885","Heb Pharmacy 444","3323 Se Military Dr","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.4334851,29.3520248,100
"886","Heb Pharmacy 445","403 S Colorado St","CALDWELL","Lockhart",NA,100,NA,100,NA,NA,NA,NA,-97.6698912,29.8805501,200
"887","Heb Pharmacy 446","2155 Paredes Line Rd","CAMERON","Brownsville",NA,100,NA,NA,NA,NA,NA,NA,-97.4885176,25.9500179,100
"888","HEB Pharmacy 448","2206 W Palma Vista","HIDALGO","Mission",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100
"889","Heb Pharmacy 449","7811 Mcpherson Rd","WEBB","Laredo",NA,100,NA,NA,NA,NA,NA,NA,-99.4719561,27.5765427,100
"890","HEB Pharmacy 45","2400 S Congress Ave","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7547555,30.2386938,100
"891","Heb Pharmacy 451","7301 North Fm 620","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.8515549,30.4047842,100
"892","Heb Pharmacy 455","200 W Hopkins St","HAYS","San Marcos",NA,100,NA,NA,NA,NA,NA,NA,-97.9430272,29.8833825,100
"893","Heb Pharmacy 462","3033 S Port Ave","NUECES","Corpus Christi",NA,100,NA,NA,NA,NA,NA,NA,-97.4208984,27.7664046,100
"894","Heb Pharmacy 463","1150 N Fm 1604 W","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5106377,29.6066696,100
"895","HEB Pharmacy 465","2701 E 7th St","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7115457,30.2591848,100
"896","Heb Pharmacy 466","108 N Rosillo St","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.5240445,29.4283807,100
"897","Heb Pharmacy 467","701 E Milam St","LIMESTONE","Mexia",NA,100,NA,100,NA,NA,NA,NA,-96.4774041,31.685708,200
"898","Heb Pharmacy 473","6210 Fairmont Pkwy","HARRIS","Pasadena",NA,100,NA,NA,NA,NA,NA,NA,-95.1443471,29.6486915,100
"899","Heb Pharmacy 474","4724 Highway 6","FORT BEND","Missouri City",NA,100,NA,NA,NA,NA,NA,NA,-95.5824052,29.5788323,100
"900","HEB Pharmacy 475","1080 Highway 290 E","BASTROP","Elgin",NA,100,NA,100,NA,NA,NA,NA,-97.3605967,30.3349598,200
"901","HEB Pharmacy 476","500 Canyon Ridge Dr","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.6727182,30.4045635,100
"902","HEB Pharmacy 477","15300 Ih 35 S","HAYS","Buda",NA,100,NA,NA,NA,NA,NA,NA,-97.820819,30.0880501,100
