Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum,lon,lat
Comal County Public Health Office (Re),1297 Church Hill Drive,COMAL,New Braunfels,NA,200,NA,NA,NA,500,700,-95.4686484,32.9087884
Comanche County Medical Center,10201 Highway 16,COMANCHE,Comanche,NA,NA,300,NA,NA,975,1275,-95.4687296,32.9085561
Combest Central Health Center,2424 50th St Ste 50,LUBBOCK,Lubbock,NA,300,NA,NA,NA,NA,300,-95.4695077,32.9082048
Communicare Health Centers West,1102 Barclay St,BEXAR,San Antonio,NA,NA,NA,NA,100,NA,100,-95.4697125,32.9068416
Community Action Health Center,301 S Hillside Dr Ste 5,BEE,Beeville,NA,NA,NA,NA,NA,975,975,-95.4698354,32.9059157
Community Action Health Center- Brooks,1302 S St Marys St Ste A,BROOKS,Falfurrias,NA,NA,NA,NA,NA,100,100,-95.470209,32.9029197
Community Action Health Center- Kleberg,1311 E General Cavazos Blvd Ste 303 Kingsville,KLEBERG,NA,NA,NA,NA,NA,NA,100,100,-95.4710264,32.9021027
Community Action Health Center - Duval,115 W Main St,DUVAL,Benavides,NA,NA,NA,NA,NA,100,100,-95.4713917,32.9020671
Community Clinic At Mcc,4601 North 19th Street,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100,-95.4717193,32.9020671
Community Clinic At Santa Fe,600 S 25th St,BELL,Temple,NA,NA,NA,NA,NA,100,100,-95.4747521,32.9020425
"Community Health And Life Center, Pllc",17510 W Grand Pkwy S Ste 380,FORT BEND,Sugar Land,NA,100,NA,NA,NA,NA,100,-95.4767162,32.9017304
Community Pharmacy,3001 Fm 2181,DENTON,Denton,NA,NA,NA,100,NA,NA,100,-95.477945,32.9013976
Communitycare- Ob/Gyn Bastrop,301 Highway 71 W Ste 111,BASTROP,Bastrop,NA,NA,100,NA,NA,NA,100,-95.4780678,32.8999571
Communitycare- South Austin,2529 S 1st St,TRAVIS,Austin,NA,100,NA,NA,NA,NA,100,-95.479957,32.8986
Communitycare East Austin,211 Comal St,TRAVIS,Austin,NA,NA,NA,200,NA,NA,200,-95.4811809,32.8971839
Communitycare North Central,1210 W Braker Ln,TRAVIS,Austin,NA,1900,NA,100,NA,NA,2000,-95.482205,32.8964772
Communitycare Rundberg,825 E Rundberg Ln Ste B1,TRAVIS,Austin,NA,NA,NA,NA,NA,100,100,-95.4830652,32.8962706
Compassion Care Clinic,1050 N Westmoreland Rd Ste 432,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100,-95.4835158,32.8960989
Comprehensive Orthopedics and Rehabilitation PA,1120 W. Campbell Rd,DALLAS,Richardson,NA,500,NA,NA,NA,NA,500,-95.4839664,32.8960989
Connally Memorial Family Practice - Floresville 1,6511 Us Highway 181 N Ste A,WILSON,Floresville,NA,300,NA,100,NA,NA,400,-95.484658,32.8959787
Connally Memorial Family Practice - Floresville 2,497 10th St Ste 101,WILSON,Floresville,NA,200,NA,100,NA,NA,300,-95.4851276,32.8946472
Connally Memorial Family Practice - Lavernia,13857 Us Hwy 87 West,WILSON,La Vernia,NA,300,NA,NA,NA,NA,300,-95.4866637,32.8940437
Connally Memorial Medical Center,499 10th St,WILSON,Floresville,NA,NA,400,NA,NA,NA,400,-95.486668,32.893699
Conroe Regional Medical Center,504 Medical Center Blvd,MONTGOMERY,Conroe,NA,900,100,NA,NA,NA,1000,-95.4905835,32.8916803
Conroe Willis Family Medicine,4015 Interstate 45 N Ste 220,MONTGOMERY,Conroe,NA,NA,NA,300,NA,NA,300,-95.4908386,32.8901285
Cook Children's Medical Center,801 7th Ave,TARRANT,Fort Worth,NA,NA,3125,NA,NA,NA,3125,-95.4912176,32.8898955
Cook Children's Medical Center,NA,TARRANT,Fort Worth,4875,NA,NA,NA,NA,NA,4875,-95.4913824,32.8893081
Cook Childrens Occupational Health Services,NA,TARRANT,Fort Worth,1950,NA,NA,NA,NA,NA,1950,-95.493536,32.8890914
Coon Memorial Hospital,1411 Denver Ave,HARTLEY,Dalhart,NA,NA,NA,300,NA,975,1275,-95.4938771,32.8884576
Cornerstone Clinic - Fredericksburg,514 W Windcrest St,GILLESPIE,Fredericksburg,NA,100,NA,NA,NA,NA,100,-95.4940543,32.8869275
Cornerstone Regional Hospital,2302 Cornerstone Blvd,HIDALGO,Edinburg,NA,200,100,NA,NA,NA,300,-95.4956015,32.8868989
Corpus Christi-Nueces County Public Health District,1702 Horne Road,NUECES,Corpus Christi,NA,NA,NA,NA,4000,NA,4000,-95.4964415,32.8857035
Corpus Christi Fire Department,2406 Leopard St,NUECES,Corpus Christi,NA,600,NA,100,NA,NA,700,-95.4965439,32.8820257
Corpus Christi Medical Associates,6200 Saratoga Blvd Unit 5,NUECES,Corpus Christi,NA,500,NA,NA,NA,NA,500,-95.5003955,32.8819973
Corpus Christi Medical Center,3315 S Alameda St,NUECES,Corpus Christi,NA,NA,NA,400,NA,NA,400,-95.5010102,32.8800046
Corpus Christi Medical Center,NA,NUECES,Corpus Christi,975,NA,NA,NA,NA,NA,975,-95.5018707,32.8797759
Corpus Christi Nueces Co Pub Hlth Dis,1702 Horne Road,NUECES,Corpus Christi,NA,100,500,NA,NA,5000,5600,-95.5023009,32.8781025
Corpus Christi Outpatient Surgery,3636 S Alameda St Ste A,NUECES,Corpus Christi,NA,NA,NA,100,NA,NA,100,-95.5042781,32.8779778
Corpus Christi Rehabilitation Hospital,5726 Esplanade Drive,NUECES,Corpus Christi,NA,NA,200,NA,NA,NA,200,-95.5087211,32.8752157
Coryell Health Medical Clinic,1507 W Main St,CORYELL,Gatesville,NA,300,200,NA,NA,975,1475,-95.5087962,32.8750626
County of Yoakum,412 Mustang Ave.,YOAKUM,Denver City,NA,NA,300,NA,NA,NA,300,-95.5098823,32.8722212
Covenant Children Hospital,4015 22nd Pl,LUBBOCK,Lubbock,NA,700,100,NA,NA,NA,800,-95.5099222,32.8699472
Covenant Health Pharmacy,3615 19th St MS 108,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400,-95.5112902,32.8653178
Covenant Healthplus,7601 Quaker Ave-Suite 100,LUBBOCK,Lubbock,NA,500,NA,NA,NA,NA,500,-95.5122601,32.8641902
Covenant Hospital Levelland,1900 College Avenue,HOCKLEY,Levelland,NA,200,NA,NA,NA,NA,200,-95.5129356,32.8640436
Covenant Hospital Plainview,2601 Dimmitt Rd,HALE,Plainview,NA,1000,NA,NA,NA,NA,1000,-95.5130587,32.8630014
Covenant Medical Center,3615 19th St,LUBBOCK,Lubbock,2925,975,700,NA,NA,NA,4600,-95.5152717,32.8620686
COVENANT MEDICAL GROUP,9812 SLIDE ROAD,LUBBOCK,Lubbock,NA,3000,NA,NA,NA,NA,3000,-95.5169623,32.8609512
Covenant Medical Group-Northwest Clinic,611 N Frankford Ave,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400,-95.5197244,32.8609512
Crane County Rural Health Clinic,1310 S Alford St,CRANE,Crane,NA,100,NA,NA,NA,975,1075,-95.5222934,32.8598445
Crescent Medical Center Lancaster,2600 W Pleasant Run Rd,DALLAS,Lancaster,NA,NA,NA,200,NA,NA,200,-95.5240602,32.8565983
Crosbyton Clinic Hosptital,710 W Main St,CROSBY,Crosbyton,NA,100,NA,NA,NA,975,1075,-95.5243186,32.8560435
Cuero-Dewitt County Health Department,115 N Gonzales St Ste B,DEWITT,Cuero,NA,NA,100,NA,NA,NA,100,-95.5269541,32.8550843
Cuero Regional Hospital,2550 N. Esplanade,DE WITT,Cuero,NA,200,NA,NA,NA,NA,200,-95.5286349,32.8535927
Cumberland Surgical Hospital,5330 North Loop 1604 West,BEXAR,San Antonio,NA,NA,NA,NA,200,NA,200,-95.5316138,32.8532188
Dallas County Health And Human Services,2377 N Stemmons Fwy,DALLAS,Dallas,NA,NA,NA,NA,6000,NA,6000,-95.5329131,32.8525721
Dallas Medical Center,7 Medical Parkway,DALLAS,Dallas,NA,200,200,NA,NA,NA,400,-95.5332293,32.852128
Dallas Regional Medical Center,1011 N Galloway Ave,DALLAS,Mesquite,NA,500,300,NA,NA,NA,800,-95.5337186,32.8517237
Davam Urgent Care,6022 Fm 1488 Rd,MONTGOMERY,Magnolia,NA,NA,NA,100,NA,NA,100,-95.536027,32.8505083
Davila Pharmacy,1423 Guadalupe,BEXAR,San Antonio,NA,200,NA,NA,200,NA,400,-95.5365142,32.8496638
Dawson County Hospital District,2200 North Bryan Avenue,DAWSON,Lamesa,NA,NA,100,100,100,NA,300,-95.5376927,32.8496435
Deaf Smith County Hospital District Employee Health,540 W 15th St,DEAF SMITH,Hereford,NA,NA,300,NA,NA,NA,300,-95.5378337,32.8461134
"Deer Park Family Clinic, P.A.",2910 Center St,HARRIS,Deer Park,NA,100,NA,100,NA,NA,200,-95.5387278,32.8444624
Del Sol Campus Of Lpds,10301 Gateway Blvd W,EL PASO,El Paso,NA,NA,300,1000,NA,NA,1300,-95.5391551,32.8386961
Del Sol Campus Of Lpds,NA,EL PASO,El Paso,975,NA,NA,NA,NA,NA,975,-95.5392128,32.8385437
Deliverit Pharmacy Clear Lake,600 N Kobayashi,HARRIS,Webster,NA,100,NA,NA,NA,NA,100,-95.5396638,32.8384712
"DeliverIt Pharmacy Inc.,",13303 West Airport Blvd,FORT BEND,Sugar Land,NA,100,NA,NA,NA,NA,100,-95.5420173,32.8384132
Dell Childrens Medical Center Of Central Texas,4900 Mueller Blvd,TRAVIS,Austin,NA,NA,1200,NA,NA,NA,1200,-95.5424521,32.8376449
Dell Childrens Medical Center Of Central Texas,NA,TRAVIS,Austin,1950,NA,NA,NA,NA,NA,1950,-95.543986,32.8376057
Dell Seton Medical Center At University Of Texas,1500 Red River St,TRAVIS,Austin,NA,NA,700,NA,NA,NA,700,-95.5439886,32.8355368
Dell Seton Medical Center At University Of Texas,NA,TRAVIS,Austin,1950,NA,NA,NA,NA,NA,1950,-95.5445844,32.8350497
Denton County Public Health,190 N. Valley Pkwy.,DENTON,Lewisville,NA,NA,NA,NA,3500,NA,3500,-95.5448898,32.8350489
Denton County Public Health - Denton,535 S. Loop 288,DENTON,Denton,NA,1000,NA,NA,NA,NA,1000,-95.5456096,32.8344239
Denton County Public Health Lewisville,190 N. Valley Pkwy.,DENTON,Lewisville,NA,NA,100,NA,NA,NA,100,-95.5461427,32.8340827
Denton State Supported Living Center,3980 State School Rd,DENTON,Denton,NA,NA,400,NA,NA,NA,400,-95.5467978,32.8335129
Dept of Public Health-Remcon,7380 Remcon Circle,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300,-95.5467989,32.8322756
Dept Public Health-Alameda,9341 Alameda,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300,-95.546905,32.8294169
Dept Public Health-Railroad,9566 Railroad,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300,-95.546905,32.8292376
Dept Public Health-Stanton,220 S. Stanton,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300,-95.5477831,32.8292376
Derm Surgery Associates,7515 Main St Ste 240,HARRIS,Houston,NA,500,NA,NA,NA,NA,500,-95.549554,32.8281994
DeTar Healtcare System,506 E. San Antonio,VICTORIA,Victoria,NA,1000,800,NA,NA,NA,1800,-95.5495875,32.8281172
Dewitt Family Practice,3020 Garrett Dr,OCHILTREE,Perryton,NA,NA,NA,NA,100,NA,100,-95.5498746,32.8251403
Diabetes and Thyroid Center of Fort Worth,7801 Oakmont Blvd,TARRANT,Fort Worth,NA,500,NA,NA,NA,NA,500,-95.5507484,32.8233915
Diagnostic Clinic of Longview,707 Hollybrook Drive,GREGG,Longview,NA,400,NA,NA,NA,NA,400,-95.5507524,32.8225137
DIANA LOZANO MD PA,5505 S Expressway 77,CAMERON,Harlingen,NA,NA,NA,100,NA,NA,100,-95.5521799,32.8220433
Dimmit Regional Hospital,704 Hospital Dr,DIMMIT,Carrizo Springs,NA,NA,200,NA,NA,975,1175,-95.5527377,32.819308
Dimmit Regional Hospital dba Luevano Health Care,504 Hospital Drive,DIMMIT,Carrizo Springs,NA,NA,NA,100,NA,NA,100,-95.5533149,32.8172101
"DIsmukesRx, LLC",511 East Davis Street,CALDWELL,Luling,NA,NA,NA,100,NA,NA,100,-95.5535997,32.816923
Divine Grace Pharmacy,1970 Us Highway 259 S,UPSHUR,Diana,NA,NA,100,300,NA,NA,400,-95.5539562,32.8138488
Doctors Hospital at Renaissance,5501 South McColl Road,HIDALGO,Edinburg,5850,3000,800,NA,6500,6825,22975,-95.5559751,32.8138026
Donald Freitag MD,2600 Lockwood St Ste A,LYNN,Tahoka,NA,NA,NA,100,NA,NA,100,-95.5579748,32.8133582
Dougherty's Pharmacy,5959 Royal Ln Ste 515,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100,-95.5591602,32.8130797
Doughertys Pharmacy,5959 Royal Ln Ste 515,DALLAS,Dallas,NA,500,NA,NA,NA,NA,500,-95.559718,32.8128222
Dr Van Tran Family Practice,1919 North Loop West,HARRIS,Houston,NA,500,NA,NA,NA,NA,500,-95.559718,32.8121643
Dr. Karen Soriano,9812 Slide Rd,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100,-95.559759,32.8119394
Dripping Springs Pharmacy,100 Commons Rd Suite 1,HAYS,Dripping Springs,NA,NA,NA,100,NA,NA,100,-95.5603995,32.8111348
Driscoll Health System,3533 S. Alameda,NUECES,Corpus Christi,NA,1000,NA,1000,NA,975,2975,-95.5604933,32.810536
"Driven MD, PLLC",8501 Wade Blvd,DENTON,Frisco,NA,200,NA,NA,NA,NA,200,-95.5606307,32.8095238
DSHS Abilene,4601 S 1st St,TAYLOR,Abilene,NA,NA,NA,NA,500,NA,500,-95.5617051,32.8092269
DSHS Anson,2062 Us Hwy 277 North,JONES,Anson,NA,NA,NA,100,NA,100,200,-95.5621092,32.8085165
DSHS Archer City,511 S. Cedar,ARCHER,Archer City,NA,NA,NA,100,NA,100,200,-95.5626989,32.8066446
DSHS Ballinger,2017 Hutchins Avenue,RUNNELS,Ballinger,NA,NA,NA,100,NA,100,200,-95.5647429,32.8048498
DSHS Bastrop,104 Loop 150 W,BASTROP,Bastrop,NA,100,100,NA,NA,NA,200,-95.56583,32.8038395
DSHS Bellville Clinic,602 E Hacienda St,AUSTIN,Bellville,NA,NA,NA,NA,NA,100,100,-95.5671561,32.8032555
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,TRAVIS,Austin,NA,1000,NA,1000,2900,NA,4900,-95.5674298,32.8032555
DSHS Cleburne,108 E Kilpatrick St,JOHNSON,Cleburne,NA,NA,NA,NA,NA,100,100,-95.5674988,32.8022656
DSHS Columbus Clinic,1220 Bowie St,COLORADO,Columbus,NA,NA,NA,100,NA,NA,100,-95.567676,32.8021236
Dshs Falfurrias,1200 E Highway 285,BROOKS,Falfurrias,NA,NA,NA,NA,NA,200,200,-95.5680452,32.7995074
DSHS Gainesville,1714 Justice Center Blvd,COOKE,Gainesville,NA,NA,NA,NA,100,NA,100,-95.5681272,32.7990466
Dshs Goliad,329 W. Franklin,GOLIAD,Goliad,NA,NA,NA,NA,100,NA,100,-95.5710392,32.7971772
DSHS Granbury,214 N Travis St,HOOD,Granbury,NA,NA,NA,NA,NA,100,100,-95.5723323,32.7966537
Dshs Hsr 2/3 Hq - Arlington (Re),1301 S Bowen Rd,TARRANT,Arlington,NA,NA,NA,NA,NA,100,100,-95.5763325,32.7966488
Dshs Hsr 6/5s-Bay City,1700 Merlin St,MATAGORDA,Bay City,NA,500,NA,NA,NA,NA,500,-95.5770082,32.7924372
Dshs Hsr 6/5s Hq - Houston (Re),5425 Polk St Ste 420,HARRIS,Houston,NA,NA,NA,NA,NA,600,600,-95.5798611,32.7914389
Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,BEXAR,San Antonio,NA,NA,NA,NA,1000,700,1700,-95.5824052,32.7910016
DSHS Kaufman,2525 E. Hwy 175,KAUFMAN,Kaufman,NA,NA,NA,NA,NA,100,100,-95.5824462,32.790788
DSHS Kingsville,100 West King Avenue,KLEBERG,Kingsville,NA,NA,NA,NA,NA,100,100,-95.5826514,32.7903447
DSHS Lampasas,205 Water Street,LAMPASAS,Lampasas,NA,NA,NA,100,NA,NA,100,-95.5833489,32.7893782
Dshs Livingston,410 E Church St,POLK,Livingston,NA,NA,NA,NA,NA,200,200,-95.5835758,32.7837239
Dshs Marfa,205 E El Paso St,PRESIDIO,Marfa,NA,NA,NA,NA,100,200,300,-95.5837183,32.7833664
DSHS Marlin,217 Williams St,FALLS,Marlin,NA,NA,NA,NA,NA,300,300,-95.5846604,32.7799513
DSHS Midland,1101 N. Midland Dr.,MIDLAND,Midland,NA,NA,NA,NA,NA,200,200,-95.5861804,32.7790861
DSHS Mineral Wells,4113 Highway 180 E,PALO PINTO,Mineral Wells,NA,NA,NA,100,NA,100,200,-95.5875885,32.7789657
DSHS Mobile Nurse Alice,408 Flournoy Rd,JIM WELLS,Alice,NA,NA,NA,NA,NA,200,200,-95.5883553,32.7784533
Dshs Mobile Nurse Corpus,5155 Flynn Pkwy Ste 419,NUECES,Corpus Christi,NA,100,NA,NA,NA,200,300,-95.5947219,32.7739262
DSHS PHR 11,601 W. Sesame Drive,CAMERON,Harlingen,NA,NA,NA,NA,1000,NA,1000,-95.5956731,32.7717779
DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,SMITH,Tyler,NA,NA,NA,100,1000,700,1800,-95.598641,32.7686316
Dshs Phr 9 /10 Hq - El Paso (Re),401 E Franklin Ave Ste 210,EL PASO,El Paso,NA,NA,NA,NA,NA,200,200,-95.5996418,32.7672814
Dshs Phr 9/10 Brady,1004 S Bridge St,MCCULLOCH,Brady,NA,100,NA,NA,NA,100,200,-95.6002985,32.7668509
Dshs raymondville,174 s. 13 th,WILLACY,Raymondville,NA,NA,NA,100,NA,200,300,-95.6042801,32.7638182
Dshs Rio Grande City,608 N Garza St,STARR,Rio Grande City,NA,200,100,NA,NA,100,400,-95.6044838,32.7638182
Dshs Sonora Clinic,103 E Main St,SUTTON,Sonora,NA,NA,NA,NA,100,NA,100,-95.6053884,32.7626671
DSHS Uvalde,112 Joe Carper Dr,UVALDE,Uvalde,NA,NA,NA,NA,NA,200,200,-95.6070304,32.7624871
DSHS Vernon,1531 Cumberland St,WILBARGER,Vernon,NA,NA,NA,100,NA,NA,100,-95.6108893,32.7622502
Dshs Zapata,1305 Kennedy Street,ZAPATA,Zapata,NA,100,NA,NA,NA,200,300,-95.6123437,32.7596673
E.A. Squatty Lyons Health Center,1712 1st St E Ste M20,HARRIS,Humble,NA,200,NA,NA,NA,NA,200,-95.6175814,32.7583647
Eagle Pharmacy,1404 S Main St,SMITH,Lindale,NA,500,NA,NA,NA,NA,500,-95.6198151,32.7580596
Eagle Pharmacy,700 S. College Ave,ARCHER,Holliday,NA,100,NA,NA,NA,NA,100,-95.62025,32.7578937
East Belt Family Medicine,5402 E Sam Houston Pkwy N,HARRIS,Houston,NA,NA,NA,100,NA,NA,100,-95.6218106,32.7554567
East Texas Community Health Services,1309 S. University Dr.,NACOGDOCHES,Nacogdoches,NA,NA,NA,100,NA,NA,100,-95.6235351,32.7552133
Eastland Memorial Hospital,Po Box 897,EASTLAND,Eastland,NA,NA,300,NA,100,NA,400,-95.6236173,32.7539698
Edinburg Cisd School Based Health Center,1601 E Sprague St,HIDALGO,Edinburg,NA,500,NA,NA,NA,NA,500,-95.6239678,32.7506007
Edinburg Regional Medical Center,1102 W. Trenton Road,CAMERON,Edinburg,NA,1400,NA,NA,NA,NA,1400,-95.6243153,32.7505613
Edinburg Regional Medical Center,1102 W. Trenton Road,HIDALGO,Edinburg,NA,NA,100,NA,NA,NA,100,-95.6243564,32.7491971
Eduardo Guzman Md,2308 Hwy 83 Ste F,HIDALGO,Penitas,NA,NA,NA,100,NA,NA,100,-95.6271991,32.7490929
El Campo Memorial Hospital,303 Sandy Corner Rd,WHARTON,El Campo,NA,NA,300,NA,100,NA,400,-95.6274772,32.7487036
El Campo Memorial Hospital Rhc,1403 Valhalla Dr,WHARTON,Wharton,NA,NA,NA,NA,200,NA,200,-95.6277236,32.7481906
El Centro De Corazon Magnolia Clinic,7037 Capitol St,HARRIS,Houston,NA,NA,NA,NA,NA,100,100,-95.63105,32.7481845
El Indio Hwy Clinic,4018 El Indio Hwy,MAVERICK,Eagle Pass,NA,100,NA,NA,NA,NA,100,-95.6311215,32.74812
El Paso Children's Hospital,4845 Alameda Ave,EL PASO,El Paso,NA,700,NA,700,NA,NA,1400,-95.6311732,32.7478201
El Paso Drive Iz Clinic El Paso Dph,5115 El Paso Dr,EL PASO,El Paso,NA,NA,NA,100,NA,NA,100,-95.6315018,32.7459072
El Paso Fire Department,301 George Perry,EL PASO,El Paso,NA,NA,NA,NA,5000,NA,5000,-95.6317482,32.7458041
El Paso Fire Department,6800 Delta,EL PASO,El Paso,NA,900,NA,NA,NA,NA,900,-95.632088,32.7446994
El Paso Psychiatric Center,4615 Alameda Ave,EL PASO,El Paso,NA,200,100,NA,NA,NA,300,-95.6344772,32.7445519
El Paso Pulmonary Association - El Paso,4305 N. Mesa Ste A 4305 N Mesa St,EL PASO,El Paso,NA,100,NA,NA,NA,NA,100,-95.6348694,32.7434434
"El Paso Wellness Associates, LLC",1600 N Lee Trevino,EL PASO,El Paso,NA,NA,NA,100,NA,NA,100,-95.6357319,32.7428374
Electra Memorial Hospital,1207 S Bailey St,WICHITA,Electra,NA,300,NA,NA,NA,NA,300,-95.6362247,32.7426506
Elm Avenue Community & Dental Clinic,609 Elm St,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100,-95.6362247,32.7414984
Emergency Care Of East Houston,15119 Wallisville Road,HARRIS,Houston,NA,NA,NA,NA,100,NA,100,-95.6364776,32.7413272
"Emergency Hospital Systems, LLC",300 E Crockett,LIBERTY,Cleveland,NA,NA,NA,NA,NA,975,975,-95.6365073,32.7405792
Encompass Health Rehabilitation Hospital of Abilene,6401 Directors Parkway,TAYLOR,Abilene,NA,NA,200,NA,NA,NA,200,-95.6388944,32.7393918
"Encompass Health Rehabilitation Hospital of Katy,",23331 Grand Reserve Dr,HARRIS,Katy,NA,100,100,NA,NA,NA,200,-95.6407511,32.738779
Encompass Rehabilitation Hospital of Pearland,2121 Business Center Drive,BRAZORIA,Pearland,NA,NA,100,NA,NA,NA,100,-95.6409628,32.7384429
Endeavor Clinical Trials,8042 Wurzbach,BEXAR,San Antonio,NA,300,NA,NA,NA,NA,300,-95.6417522,32.7370285
Ennis Regional Medical Center,2201 W Lampasas St,ELLIS,Ennis,NA,NA,200,100,NA,NA,300,-95.6442934,32.736806
Envoy Hospice,"3180 College St,",JEFFERSON,Beaumont,NA,NA,NA,NA,100,NA,100,-95.6453432,32.7366137
EP FAMILY DOCTOR,2270 Joe Battle Suite M-N,EL PASO,El Paso,NA,500,NA,NA,NA,NA,500,-95.6455734,32.7366137
Eubank Drug LLC,1510 N BRAZOS ST,HILL,Whitney,NA,NA,NA,100,NA,NA,100,-95.645767,32.7358538
"Excel Urgent Care, PLLC",25801 Hwy 290,HARRIS,Cypress,NA,100,NA,NA,NA,NA,100,-95.6465345,32.7350565
Fairfield Family Physicians,15201 Mason Rd Ste 1200,HARRIS,Cypress,NA,NA,NA,100,NA,NA,100,-95.647356,32.7343677
Fairview Dermatology,331 Town Pl,COLLIN,McKinney,NA,300,NA,NA,NA,NA,300,-95.6475841,32.7340308
Fairway Medical Clinic 2,7701 W Bellfort St Ste 102,HARRIS,Houston,NA,200,NA,NA,NA,NA,200,-95.6495743,32.7339871
Falls Community Hospital & Clinic,322 Coleman St,FALLS,Marlin,NA,NA,100,NA,NA,975,1075,-95.6732414,32.7337607
Family 1st Care,1615 Hospital Blvd Ste A,COOKE,Gainesville,NA,100,NA,500,NA,NA,600,-95.6781662,32.7334098
Family Care Clinic Of Bushland,1600 S Fm 2381,POTTER,Amarillo,NA,NA,NA,100,NA,NA,100,-95.6837631,32.7333788
Family Circle Of Care Athens,1001 N Palestine St,HENDERSON,Athens,NA,NA,NA,NA,NA,100,100,-95.6852805,32.7331994
Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,WILLIAMSON,Cedar Park,NA,500,NA,NA,300,6000,6800,-95.6854073,32.7328682
Family First Urgent Care,2510 S Loop 336 W,MONTGOMERY,Conroe,NA,NA,NA,100,NA,NA,100,-95.6863011,32.7324935
Family Health And Wellness At Lake Aire,2423 Williams Dr,WILLIAMSON,Georgetown,NA,NA,NA,NA,NA,100,100,-95.6865993,32.7324823
Family Health Center - Perryton,3019 S Main St,OCHILTREE,Perryton,NA,100,NA,NA,NA,NA,100,-95.6889187,32.7324823
Family Health Center - Waco,1600 Providence Dr,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100,-95.6902579,32.7324823
Family Health Center Llp,2768 Pharmacy Rd,STARR,Rio Grande City,NA,100,NA,NA,NA,NA,100,-95.6908334,32.731559
Family Health Center Of Bastrop,3101 Highway 71 E Ste 101,BASTROP,Bastrop,NA,NA,NA,NA,100,NA,100,-95.6913535,32.7308845
Family Health Clinic Arlington,1115 E Pioneer Pkwy,TARRANT,Arlington,NA,NA,NA,100,NA,NA,100,-95.6913707,32.7296877
Family Health services of Alpine,406 S Summer st,BREWSTER,Alpine,NA,400,NA,NA,NA,NA,400,-95.6915806,32.7296584
Family Healthcare - Denton,3105 Colorado Blvd,DENTON,Denton,NA,NA,NA,200,NA,NA,200,-95.6915922,32.7294505
Family Healthcare Of Bovina,1100 Highway 86,PARMER,Bovina,NA,NA,NA,200,NA,NA,200,-95.6917378,32.7289505
Family Life Medical,508 Medical Center Blvd,MONTGOMERY,Conroe,NA,500,NA,NA,NA,NA,500,-95.6928636,32.7280934
Family Medical And Specialty Clinic,2790 Pharmacy Rd Ste B,STARR,Rio Grande City,NA,100,NA,NA,NA,NA,100,-95.6953934,32.7273948
Family Medicine Assoc Of Round Rock,7200 Wyoming Springs Dr Ste 600,WILLIAMSON,Round Rock,NA,NA,NA,300,NA,NA,300,-95.6978542,32.727173
Family Medicine Associates of El Paso,9398 Viscount Blvd,EL PASO,El Paso,NA,500,NA,200,NA,NA,700,-95.7012447,32.7268053
Family Medicine At Sterling Ridge,10110 Woodlands Pkwy,MONTGOMERY,Spring,NA,NA,NA,100,NA,NA,100,-95.7032883,32.7268053
Family Medicine Center - Groesbeck,701 Mcclintic Dr,LIMESTONE,Groesbeck,NA,NA,NA,NA,100,NA,100,-95.7046194,32.7258176
Family Medicine Clinic - Pearsall,151 Medical Dr,FRIO,Pearsall,NA,200,NA,300,NA,NA,500,-95.7072382,32.7257468
Family Medicine Specialists,21800 Katy Fwy,HARRIS,Katy,NA,500,NA,NA,NA,NA,500,-95.7113092,32.7250441
Family Pharmacy,1720 Hillcrest Dr,WILBARGER,Vernon,NA,NA,NA,100,NA,NA,100,-95.7169845,32.7227889
"FAMILY PHYSICIANS CLINIC, LLP",606 S BROADWAY ST,HIDALGO,McAllen,NA,500,NA,NA,NA,NA,500,-95.7169845,32.72249
Family Practice Associates,220 Wesley Dr,KERR,Kerrville,NA,NA,NA,100,NA,NA,100,-95.717149,32.7224056
Family Practice Rural Health Clinic,303 N Brown St,HAMILTON,Hamilton,NA,300,NA,NA,NA,NA,300,-95.7218788,32.7218479
Family Wellness Clinic,1809 Lockwood Ave,LYNN,Tahoka,NA,NA,NA,100,NA,NA,100,-95.7219752,32.7213907
Family Wellness Clinic Ut Austin School Of Nursing,2901 N Interstate 35 Ste 1.301,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200,-95.7263622,32.7203429
Familyfirst Healthcare,5915 82nd St,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400,-95.7330368,32.7203027
